id	status	score	schema	table	rows	name_cols	kind	has_id	has_state	bridge_to	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
N:POLITICS__FED_FJC_JUDGES	skip	11.8	POLITICS	POLITICS__FED_FJC_JUDGES	4067	LAST_NAME, FIRST_NAME, MIDDLE_NAME, COURT_NAME_1, COURT_NAME_2 +4	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	PEOPLE OFFICIALS MAP DEMOGRAPHIC OUTCOME	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	an older copy of JUSTICE__FED_FJC_ARTICLE_III_JUDGES	auto-skip at build: POLITICS__FED_FJC_JUDGES is a copy of JUSTICE__FED_FJC_ARTICLE_III_JUDGES; the original's rows carry the work		build	2026-09-24
N:JUSTICE__INTL_HUDOC	probed	11.7	JUSTICE	JUSTICE__INTL_HUDOC	211778	PERSON_NAME	people	no	no	FED_COURTLISTENER_JUDGES, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS +42	HARM PEOPLE MAP DEMOGRAPHIC	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	JUDGMENT_DATE and JUDGMENT_YEAR blank on all 211,778 rows; each judgment stored in English and French	Top names are anonymised: 'X' 25, blank 17, 'M.A.' 14. OpenSanctions bridge: 212 of 6,481 two-word names hit, country agrees on 159 (75%), mostly namesake politicians. Two real: National Lottery AD and Eurofootball OOD (BGR, OFAC-listed)		sweep3-d	2026-09-24
N:TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	probed	11.7	TRANSPORT	TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	224941	REPORTING_RAILROAD_NAME, OTHER_RAILROAD_NAME, MAINTENANCE_RAILROAD_NAME, TRACK_NAME, REPORTING_PARENT_RAILROAD_NAME +1	organizations	no	yes	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	MONEY HARM MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision		Top: Union Pacific 27,856 accidents, BNSF 14,827, CSX 12,314. Name bridge to FRA casualties: 945 of 1,030 names, railroad code agrees on 938 (99.3%), 99.9% of accidents. Clean inside FRA; no outside ID		sweep3-d	2026-09-24
N:EDUCATION__FED_SENATE_LDA_FILINGS	probed	11.1	EDUCATION	EDUCATION__FED_SENATE_LDA_FILINGS	1964969	REGISTRANT_NAME, CLIENT_NAME	organizations	no	yes	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	OFFICIALS MAP DEMOGRAPHIC TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	amendments repeat the original's total; sums double count	F-017 C: LDA lobbying clients vs contract recipients: 995 names match 2019-24, no angle found yet	F-017	claude	2026-09-24
N:ECONOMICS__FED_SBA_PPP	probed	11.0	ECONOMICS	ECONOMICS__FED_SBA_PPP	968524	BORROWER_NAME, SERVICING_LENDER_NAME	organizations	no	yes	FED_IRS_BMF, FED_IRS_PUB78_ELIGIBLE_DONEES, FED_IRS_AUTO_REVOCATIONS, FED_IRS_REVOCATION, FED_FAC_SINGLE_AUDIT +145	MONEY MAP DEMOGRAPHIC OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		Top repeats are churches (First United Methodist x40) plus 'NEW APPLICATION' x37 ($24.3M placeholder). IRS EO BMF name+state bridge: 22,457 of 845,910 keys (2.7%), city agrees 84.6%, $20.8B of $514B		sweep3-d	2026-09-24
N:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	probed	11.0	ECONOMICS	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	93119582	AWARDING_AGENCY_NAME, AWARDING_SUB_AGENCY_NAME, FUNDING_AGENCY_NAME, RECIPIENT_NAME, RECIPIENT_DOING_BUSINESS_AS_NAME +3	people	yes	yes		MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (CAGE, DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	93M rows, ACTION_DATE is text, 150 s per full scan	582,657 UEIs, 130 carry more than one name (99.98% clean). Top by rows: AmerisourceBergen 5.07M. Lockheed's name spans 114 UEIs. Officer Amy Gilliland is officer 1 on 63 UEIs (GD units)		sweep3-d	2026-09-24
N:TRANSPORT__FED_FRA_CASUALTIES	probed	11.0	TRANSPORT	TRANSPORT__FED_FRA_CASUALTIES	1150788	RAILROAD_NAME, REPORTING_PARENT_RAILROAD_NAME, REPORTING_RAILROAD_HOLDING_COMPANY	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	HARM MAP DEMOGRAPHIC TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision	DATE blank before 1997	Top: Union Pacific 100,263 rows, 7,834 deaths; Amtrak 5,291 deaths. PPP bridge: 15 of 1,277 multi-word railroad names took PPP, state agrees 15/15 (Fort Worth & Western $2.1M). DATE is blank before 1997		sweep3-d	2026-09-24
N:OPIOID_PRESCRIBER_PAID_HIGH_RX	skip	10.9	FINDINGS	OPIOID_PRESCRIBER_PAID_HIGH_RX	6020	LAST_NAME, FIRST_NAME	people	yes	yes		MONEY HARM PEOPLE MAP DERIVED	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
N:POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	untouched	10.8	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	457521	RECIPIENT_NAME, CONTRIBUTOR_NAME, EMPLOYER_NAME, INTERMEDIARY_NAME, INTERMEDIARY_EMPLOYER_NAME	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	untouched	10.7	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS	259537	RECIPIENT_NAME, CONTRIBUTOR_NAME, EMPLOYER_NAME, INTERMEDIARY_NAME, INTERMEDIARY_EMPLOYER_NAME	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	probed	10.6	CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	17589036	COMPANY, COMPANY_RESPONSE, COMPANY_PUBLIC_RESPONSE	organizations	no	yes	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	HARM MAP OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		F-012 C: CFPB complaint companies vs FDIC-ordered banks by name: 2 of 30 match; needs a cert-to-company map	F-012	claude	2026-09-24
N:POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION	untouched	10.6	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION	193741	CANDIDATE_LAST_NAME, CANDIDATE_FIRST_NAME, CONTRIBUTOR_NAME, EMPLOYER_NAME, INTERMEDIARY_NAME +3	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_NUMBER, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	CONTRIBUTION_DATE null on every row				
N:POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION	untouched	10.6	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION	146112	RECIPIENT_NAME, CONTRIBUTOR_NAME, EMPLOYER_NAME, INTERMEDIARY_NAME, INTERMEDIARY_EMPLOYER_NAME	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	untouched	10.6	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION	197968	RECIPIENT_NAME, CONTRIBUTOR_NAME, EMPLOYER_NAME, INTERMEDIARY_NAME, INTERMEDIARY_EMPLOYER_NAME	people	no	yes	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST	untouched	10.5	JUSTICE	JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST	1011	FIRST_NAME, NAME_ORIGINAL_SCRIPT, INDIVIDUAL_ADDRESS, ENTITY_ADDRESS	people	no	no	FED_COURTLISTENER_JUDGES, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS +42	HARM PEOPLE DEMOGRAPHIC TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one INDIVIDUAL_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:POLITICS__MEMBER_INDIV_DONATIONS	untouched	10.5	POLITICS	POLITICS__MEMBER_INDIV_DONATIONS	1057	FULL_NAME	organizations	yes	yes		MONEY PEOPLE OFFICIALS MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:POLITICS__MEMBER_MONEY_RAISED	untouched	10.5	POLITICS	POLITICS__MEMBER_MONEY_RAISED	1050	FULL_NAME	organizations	yes	yes		MONEY PEOPLE OFFICIALS MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:ECONOMICS__FED_USASPENDING_CONTRACTS	untouched	10.4	ECONOMICS	ECONOMICS__FED_USASPENDING_CONTRACTS	6325622	AWARDING_AGENCY_NAME, AWARDING_SUB_AGENCY_NAME, FUNDING_AGENCY_NAME, RECIPIENT_NAME, RECIPIENT_DOING_BUSINESS_AS_NAME +3	people	yes	yes		MONEY PEOPLE MAP TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	2024-2025 only; full history is _FULL_R2				
N:MEMBER_MONEY_VS_OUTPUT	skip	10.4	FINDINGS	MEMBER_MONEY_VS_OUTPUT	635	FULL_NAME	organizations	yes	yes		MONEY PEOPLE OFFICIALS MAP DERIVED	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
