story_id	bin	confidence	novelty	grade	pre_known	post_cutoff	earliest	news_match	deciding_types	what_we_add	headline
S031	Matched + more	high	3	narrowed	blind	True	2026-07-28	False	research	the chain breakdown: Bria, Evercare and Infinity near 73% flagged	Illinois flags 30% of its nursing homes for abuse, three times the 9% rate everywhere else
S032	Unreported	medium	4	narrowed	blind	False		False			San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medica
S033	Matched + more	medium	3	narrowed	blind	True	2015-01-12	True	government,news,research	the streak stat: only auditee of 67,777 with going-concern doubt plus material noncompliance all 10 years 2016-2025, and $246.2M total federal spending	Only 1 of 67,777 federal-grant auditees had survival doubts and rule-breaking flagged 10 y
S034	Unreported	high	4	narrowed	blind	False		False			25 senior and disabled housing nonprofits on HUD money kept filing federal audits years af
S035	Known pattern	high	4	unchecked	blind	False		False	research		54 high-overdose, high-jail counties got $45 per person of federal addiction-agency money 
S036	Not comparable	low	4	narrowed	blind	False		False	research		Nursing-home dialysis brands run 18 of 26 rated clinics flagged worse on survival, but onl
S037	Known pattern	medium	3	narrowed	blind	False		False	research		California family therapists opted out of Medicare at 37%, 3.5 times the rate of Californi
S038	Known pattern	high	2	confirmed	blind	False		False	government,news		27% of 919 nonprofit hospitals paid one officer more than their whole 2022 charity-care co
S039	Matched + more	medium	3	narrowed	blind	False	2026-02-02	False	research	the 2024-specific slice: 193 banned NPIs, about $166K, and the Hector Molina $114K Skye Orthobiologics row	193 providers on the federal health-fraud ban list took about $166K from drug companies in
S040	Not comparable	medium	3	narrowed	blind	False		False	company		loanDepot denied 74% of refinance applications in 2015-17 but only 8% of home-purchase one
S041	Matched + more	high	3	unchecked	blind	True	2026-02-11	True	government,news	the full count: 11 of 11 data-set pages, the Jan 30-Feb 9 window, none restored through early June, and 12 court-case links renamed '[redacted] v.' on Feb 21 and 24	All 11 Justice Department Epstein data-set pages lost their 'Download all files' link betw
S042	Known pattern	medium	3	unchecked	blind	False		False	news,trade press		Eight coal-mine owners logged 900-1,960 serious safety violations per 1,000 miners in 2018
S043	Matched + more	high	3	narrowed	blind	False	2016-02-06	True	news,research	the default-judgment rate: 52% of first filings vs 37% for other filers, and the ~1,130 case count over 2015-25	Roosevelt Cayman Asset Company filed a third of Puerto Rico's federal foreclosures in 2015
S044	Matched + more	low	2	unchecked	blind	False	2023-04-12	True	research,trade press	the rise: 19% of changes in 2000-04 to 64% from 2010 on; Medtronic defibrillator line P980016 with 928 changes, 621 of them 30-day notices	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, ro
S045	Matched + more	high	2	unchecked	blind	False	2017-06-13	True	news,research	the 2023 rates on a fixed-county, ages 15-64 basis: 563 vs 227 per 100K, and Butts GA / Yazoo MS growing ~4x on local holds	Rural jails now lock up 2.5 times the urban rate: 563 vs 227 per 100,000 working-age resid
S046	Not comparable	low	3	unchecked	blind	False		False	government		One pension plan (EIN 822871833) is 25.8% funded with $95.4M unpaid; Transit Management of
S047	Matched + more	medium	3	unchecked	blind	True	2025-08-03	True	news,research	the 92-committee count under the explicit under-10% test, $580M, and the treasurer concentration: 12 treasurers hold 29 of 96 such PACs (30%) vs 14.6% elsewhere	92 political committees each raised $1M+ from individuals in 2024 ($580M total) but passed
S048	Known pattern	medium	3	narrowed	blind	False		False	government,news,testimony		About 89 active Texas major air polluters have had no full compliance inspection in 5+ yea
S049	Not comparable	medium	3	unchecked	lead_cites_press	False		False	trade press		Aircraft Guaranty Corp's trustee arm holds 364 live US plane registrations and added 38 in
S050	Matched + more	medium	3	narrowed	blind	True	2025-11-26	True	news	the defect-case metric: 19% of pre-2022 cases still open vs 3% elsewhere, plus the Louisiana and EPA Region 9 comparisons and 2+ year counts	Serious water-system defects found before 2022 are still unfixed in 19% of West Virginia c
S051	Matched + more	high	1	unchecked	blind	False	2024-03-14	True	news,research	the fines-per-bed cut: $320 vs $205, and Arcadia Care worst at $1,357 per bed	For-profit nursing homes: 3.70 staff hours per resident a day vs 4.40 at nonprofits; fines
S052	Known pattern	medium	2	confirmed	blind	False		False	research		Five firms at one Newington, Connecticut, address won $13.35M in 41 small-business researc
S053	Known pattern	high	4	narrowed	blind	False		False	government		Barred landlord Amerihost Services drew $1.54M in federal Section 8 rent subsidy in 27 pay
S054	Known pattern	medium	4	unchecked	blind	False		False	government		US companies registered through Bloomberg refuse to name their ultimate owner 5.7% of the 
S055	Matched	high	1	unchecked	blind	False	2018-05-07	False	government,research		Black home buyers were denied about twice as often as white buyers at every big 2017 mortg
S056	Matched + more	high	1	confirmed	blind	True	2025-12-03	True	government,news	Fix the City's donor count, 381 gifts; no usable source states how few gifts made the $35.6M	NYC's 2025 mayor race: one committee, Fix the City, took $35.6M from 381 gifts; Mamdani ra
S057	Matched + more	medium	1	unchecked	blind	False	2020-01-14	True	government,news	706 trials, the 8.6% rate on a fixed 2017-2022 completion cohort, and 152,850 enrolled patients	706 finished US drug and device trials, 8.6% of those the law covers, never posted results
S058	Known pattern	medium	2	narrowed	blind	False		False	research		Among diabetes shots, doctors paid only by Novo (Ozempic's maker) chose Ozempic 54% of the
S059	Contradicted	high	2	narrowed	blind	False		False	government,news		Elgin, Illinois, tests at 53 parts per billion of lead; about 17 big water systems are ove
S060	Known pattern	medium	2	unchecked	blind	False		False	trade press		Nevro's spinal-cord stimulator has 168 death reports out of 737 (22.8%); similar devices r
S061	Known pattern	medium	2	unchecked	blind	False		False	government,research		56,159 rural apartments in federal farm-agency housing opened by 1980 have no live low-ren
S062	Known pattern	low	2	unchecked	blind	False		False	news		ACNR's underground coal mines logged 11.1 injuries per 100 workers a year, 2018-24; other 
S063	Known pattern	medium	2	unchecked	blind	False		False	research		5,362 company officers and directors match $555M of federal campaign gifts by name, state 
S064	Known pattern	medium	4	narrowed	blind	False		False	news,research		Sea Robin pipeline's 2025 gas-loss reports reuse one number, 1,587,069, whole, halved and 
S065	Unreported	medium	2	unchecked	blind	False		False			Acetaminophen-codeine liquid's generic price jumped 30-fold in 2024; saxagliptin tablets r
S066	Matched + more	medium	2	unchecked	blind	False	2024-04-26	False	research	Diamondback's company-wide 30.3% rate, secrets in 96.7% of 3,164 jobs, the near-double gap over 16.2%	Diamondback hides 30.3% of its Texas fracking chemicals as trade secrets, nearly double th
S067	Matched + more	medium	2	unchecked	blind	False	2020-05-08	True	news	The plant-level counts: 1,394 overflows since Oct 2016, $52,344 in penalties (~$38 each), 202 overflows in 2025. Sources report spills and county-level fines, never these numbers.	DeKalb County's Snapfinger Creek sewer plant logged 1,394 overflows since 2016 against $52
S068	Matched + more	high	2	unchecked	blind	True	2020-06-30	True	news,research	Fattah filing for Liberia, the 5-in-2025 count, and the since-1970 window	94 ex-members of Congress later filed foreign-agent forms; five filed in 2025, including B
S069	Matched + more	low	2	unchecked	blind	False	2021-03-04	True	research,trade press	The 143-of-999 count, the 31 still-severe list and county scores (Humphreys 22, Jim Hogg 23)	143 doctor-shortage areas first flagged in 1978-89 are still flagged; 31 still rank severe
S070	Known pattern	medium	3	unchecked	blind	False		False	research		Beaver Valley Hospital, 25 beds in Utah, took $22.3M in COVID relief: 2.45 times its 2019 
S071	Known pattern	medium	3	unchecked	blind	False		False	research		Political ad buyers who gave Google only a tax ID, no federal election ID, spent $861.4M o
S072	Known pattern	high	3	unchecked	blind	False		False	government,trade press		CareCore Health's 12 Ohio nursing homes draw 1.95x their state's fire-safety citations; 11
S073	Known pattern	high	3	narrowed	blind	False		False	research		One Egyptian national born in 2001 controls 630 UK companies the register calls live; none
S074	Known pattern	high	3	unchecked	blind	False		False	trade press		68 federal district judges with unusual loans from a bank were assigned 424 cases naming t
S075	Known pattern	high	3	narrowed	blind	False		False	government		The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwau
S076	Known pattern	medium	3	unchecked	blind	False		False	government		29 Medicare-enrolled businesses are signed for by someone sharing a banned person's name, 
S077	Matched + more	medium	3	unchecked	blind	False	2024-12-12	True	trade press	The 33-of-1,146 Medicare-hospital match count; no source sizes the hospital slice that way	33 US healthcare posts on ransomware leak sites match a Medicare hospital by name; Watsonv
S078	Matched + more	medium	3	unchecked	blind	False	2025-03-26	True	government,news	That the penalty is the biggest state water fine on file after BP's; no source makes the ranking	Altair Recycling in Texas got a $57.0M state water-pollution penalty in June 2025, the big
S079	Known pattern	high	3	narrowed	blind	False		False	news		On a strict name and birth-date match, 22 sanctioned people control 46 live UK companies; 
S080	Known pattern	high	4	unchecked	blind	False		False	court,news		Two cases went to judges whose spouses drew director fees from the defendant: McMahon–JetB
S081	Unreported	medium	3	unchecked	blind	False		False			Drug companies logged 47,607 doctor meals at exactly $125.00 in 2024, against 675 at $126.
S082	Matched + more	medium	1	unchecked	blind	False	2023-10-17	True	government,news	the combined-code series 21,800 to 87,600 and the flat all-injury baseline	E-bike and moped emergency-room visits quadrupled, 21,800 to 87,600 a year from 2019 to 20
S083	Matched + more	medium	1	unchecked	lead_cites_press	True	2024-09-25	True	news	the 104-of-637 race count and the 5.8x Moreno ratio	Outside money beat the candidate's own spending in 104 of 637 congressional campaigns in 2
S084	Not comparable	medium	1	unchecked	blind	False		False	news,research		Forest County, Pennsylvania, has 1,685 orphaned oil and gas wells for every 10,000 residen
S085	Contradicted	medium	1	unchecked	lead_cites_press	False		False	trade press		Delaware's court got 46 of the 80 billion-dollar business bankruptcies filed since 2015, c
S086	Known pattern	high	3	narrowed	blind	False		False	research,trade press		76 co-authors of papers retracted in federal misconduct cases got $187M in federal health-
S087	Matched + more	medium	3	narrowed	blind	False	2026-06-16	False	government	the 23-firm, roughly $800K, mostly-DoD slice of positive new actions	23 firms under a government-wide ban got $800K in new federal orders after the ban, mostly
S088	Unreported	medium	3	unchecked	blind	False		False			Hedge funds and banks paid for 14.6% of itemized Texas lobby meals; the top recipient got 
S089	Unreported	medium	3	unchecked	blind	False		False			NAI Logistics got 13 Defense fuel payments worth a net $20,647 within 3 days of its sancti
S090	Matched + more	high	2	narrowed	blind	False	2026-02-19	False	government	the 161-vs-98-134 prior-year spike framing and the z-score comparison	Oklahoma lost 161 veterans to suicide in 2023, against 98 to 134 every year from 2011 to 2
S091	Matched + more	medium	2	unchecked	blind	False	2019-03-01	True	news,research	43 accident inspections, 18 open, and the 486-day median vs 139-251 for peers	Tesla has 43 California accident inspections by job-safety regulators; 18 are still open, 
S092	Matched + more	low	1	unchecked	blind	False	2022-03-09	False	research	toxic-release plants per 100 km2 by grade (D 13.35, C 5.82, B 2.21, A 0.07); D six times B; D denser than B in 119 of 212 cities	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, si
S093	Matched + more	medium	1	unchecked	blind	False	2023-05-16	False	government,research	the median-county series 4.57/3.41/3.86 and the 10x+ county counts	Black residents' jail rate ran 4.57x the white rate in 2010, 3.41x in 2019 and 3.86x in 20
S094	Known pattern	high	2	unchecked	blind	False		False	news,trade press		987 of 22,770 months where an insider sold $5M+ of stock came 4-9 months before a 50%+ pri
S095	Known pattern	medium	3	unchecked	blind	False		False	news,research		Oklahoma refineries pay $3,300 in air penalties per logged violation; Texas refineries pay
S096	Unreported	medium	3	unchecked	blind	False		False			CSX and Norfolk Southern made 8.2 times the spill-hotline calls of Union Pacific and BNSF 
S097	Matched + more	medium	3	unchecked	blind	False	2026-04-28	False	government	the 78% vs 33% no-action split for Regions 6/9 vs 7/8	In two environmental-agency regions, 78% of hazardous-waste sites inspected twice have no 
S098	Contradicted	high	3	unchecked	blind	False		False	government		Kings County, California, rejected 13.7% of returned mail ballots in 2022, against 1.52% n
S099	Matched + more	medium	3	narrowed	blind	False	2010-12-10	True	news	the 37-of-420 renewed-after-crash count and the 2023 batch-extension link	37 planes that crash investigators rated destroyed got their federal registration renewed 
S100	Known pattern	high	2	narrowed	blind	False		False	news,research		Senators on the Banking Committee were 19% of trading senators but made 34% of bank-stock 
S101	Known pattern	high	3	B	blind	False		False	news,trade press		83 new Arizona hospices (2020-23) listed Los Angeles phone numbers; only 12 ever got Medic
S102	Matched + more	high	3	B	blind	True	2026-01-15	True	government,news,research	the 2,980-vs-2,829 record-since-2015 comparison and the cocaine 261-to-443 counts	Arizona overdose deaths rose 11.5% in a year as the median state fell 14%, hitting 2,980, 
S103	Known pattern	high	2	B	lead_cites_press	False		False	research,trade press		Generic makers Teva, Actavis and Mutual filed about 15,500 lawyer-sourced metoclopramide (
S104	Matched + more	high	3	B	blind	False	2024-12-12	True	government,news,research	the 1.78 stays-per-patient ranking against 2,109 hospitals and the 30%-vs-15% sepsis share	Oroville Hospital, California, had 1.78 stays per traditional-Medicare patient, tied for h
S105	Known pattern	medium	4	B	blind	False		False	government		Medicare's ordering list still clears 83% of recently deactivated clinicians to order equi
S106	Known pattern	medium	2	B	blind	False		False	research,trade press	944 homes; 0.28 stars below same-state for-profit peers; 52% one- or two-star, 8 points above peers; median home 0.42 stars below	944 for-profit nursing homes with operating companies formed 2022 to Sept 2024 rate 0.28 s
S107	Matched + more	medium	3	B	blind	True	2024-01-30	True	government,news,trade press	the 35%-vs-3% enrollment-era split and the Friar St Medicare-enrollment counts	Five Los Angeles-area postal zones (ZIP 912-916) hold 35% of home health agencies enrolled
S108	Matched + more	medium	3	B	blind	False	2020-11-19	False	government	the count: 7 of 26 rated vs about 13 expected, and the three named Navajo-area hospitals driving half the gap	Only 7 of 26 Indian Health Service and tribal hospitals have a Medicare star rating; simil
S109	Not comparable	low	3	B	blind	False		False	company		Ingredient makers filed 83 semaglutide (Ozempic) files with the drug regulator since 2023,
S110	Matched + more	high	4	B	blind	True	2026-07-14	True	news,trade press	the state ledger: Michigan 7,395, Ohio 4,408, six Midwest/Plains states holding 78%, and the week-30 prior-year best of 3,451	The CDC's weekly disease table shows 17,197 cyclospora parasite infections by late July 20
S111	Matched + more	medium	2	B	blind	False	2003-09-23	True	news,research	the hospital-level count: 24 of 72 worse, 1 better, and the four-state 43-worse-vs-4-better with look-alike expectations of 20 and 25	24 of 72 Mississippi hospitals are worse than the national death rate on some measure; onl
S112	Matched + more	medium	3	B	blind	False	2021-05-18	True	news,trade press	the counts: 17 to 40 (+135%), 23 new hospitals and 1,144 beds with zero closures, net +24 most of any state, rest of US +31%	Florida went from 17 freestanding rehab hospitals in mid-2019 to 40 now, +135%, with zero 
S113	Matched + more	high	1	B	blind	True	2026-04-15	True	news,research	the median member's longest run is 3, and the 33-voting-days count	Rep. Thomas Kean (R-NJ) missed 140 recorded House votes in a row, 33 voting days, the long
S114	Matched + more	medium	1	B	blind	True	2026-01-23	True	news,trade press	the median rates (1.8% to 3.5%), the 16-member cohort, and the 2023-24 placebo showing the same rise	16 House members running for Senate doubled their missed votes in campaign season, but did
S115	Matched + more	medium	2	B	blind	True	2025-09-23	True	news	the employer counts from the filings themselves: 1 in 2022, 58 in 2024, 59 in 2025, 45 in H1 2026, and the 1.8% vs 0.03% share	California employers naming artificial intelligence on lobbying reports: 1 in 2022, 58 in 
S116	Matched + more	high	3	B	blind	True	2026-03-24	True	news	raised $0 from donors; the $1M check is the biggest from any dormant campaign committee in 2025-26 (next $215K); check dates 2025-10-27 and 2026-07-15	Sean Duffy's old House fund raised $0 from donors but gave $1.5M to Northwoods Future PAC,
S117	Matched + more	medium	3	B	blind	False	2013-03-07	True	news	the gift-report counts: 61 of 228 (2005-11) vs 9 of 243 since 2019, the 2012 break point, and the same-15-filers 22-of-63 to 1-of-47	Texas lobby reports with $1,000+ in gifts named a recipient 1 time in 4 in 2005-11; since 
S118	Unreported	medium	4	B	blind	False		False			1 in 4 new IRS political-group notices, Dec 2022-Dec 2025, came from businesses, including
S119	Matched + more	medium	2	B	blind	True	2025-12-22	True	news,opinion	the shares: 34 of 45 (76%) zero-Dem judges vs Biden's 25%, and the 58% figure once Collins, Murkowski and Graham are removed	34 of Trump's 45 second-term judges (76%) got no Democratic votes; Biden's 2023-24 judges:
S120	Matched + more	high	2	B	blind	True	2025-12-18	True	government,news	the en bloc before/after rate, 37.3 to 12.6 nomination votes a month, and the 41.5% vs 13.5% zero-crossover share	The Senate held 659 recorded votes in 2025, second only to 1976; 356 were on nominations, 
S121	Matched + more	high	1	B	blind	True	2026-03-04	True	news,trade press	the all-12-votes count and the named absentees behind the one-vote failures (Ricketts on 5/13; Sanders, Bennet, Booker on 6/16)	Fetterman was the only Democrat voting with Republicans on all 12 Senate Iran war-powers v
S122	Matched + more	medium	3	B	blind	True	2026-02-17	False	government,research	the session numbers: 59% to 78%, the +19 points biggest rise of 178 countries, and the third-most-out-of-step rank level with Russia	Argentina sided with the US on 78% of UN votes in 2024-25, up 19 points, biggest rise of 1
S123	Matched + more	medium	3	B	blind	True	2026-01-09	True	government,news	our measure: 14 of 118 roll-call-passed bills (12.7%) got an amendment roll call vs a 1995-2024 median of 60.8%	Just 12% of House bills passed by roll call this Congress got an amendment roll call; the 
S124	Matched + more	medium	2	B	blind	False	2024-04-07	True	news,trade press	16 of 38 federal-government appeals in 2021-24 vs 1 of 26 in 2015-20; other 11 regional circuits steady at about 12%; SCOTUS cases per 1,000 5th Circuit appeals 0.57 to 1.50	16 of 38 Supreme Court cases from the 5th Circuit in 2021-24 were federal-government appea
S125	Matched + more	high	4	B	blind	True	2026-06-04	True	research,trade press	the cross-industry frame: deposits 2.08x assets, the only one of 4,250 credit unions over 2x, median 0.86x	Jackson Area credit union (Mississippi) holds $148.2M in deposits on $71.4M in assets: a $
S126	Known pattern	low	3	B	blind	False		False	government		Since 2020 the bank regulator (FDIC) put 11 of 107 minority-owned banks under cleanup orde
S127	Matched + more	medium	2	B	blind	False	2024-06-13	False	company	the counts: 30 of 76 sale reports late, and the market frame of 38 of 2,740 companies over 10% late with a median of zero	Boxlight insiders filed 30 of 76 stock-sale reports late; 38 of 2,740 companies ran 10%+ l
S128	Known pattern	medium	3	B	blind	False		False	company,government		Since 2024, 31 per 1,000 money-manager stock reports ran a year-plus late, vs 9.5 before; 
S129	Unreported	medium	4	B	blind	False		False			At least 36 US-sanctioned banks still hold numbers on the tax agency's (IRS) foreign-bank 
S130	Known pattern	medium	3	B	blind	False		False	company		355 fund holdings reports still count in thousands, not dollars: about $2.6 trillion missi
S131	Matched + more	medium	2	B	blind	False	2025-05-29	False	company	the 18-company count past the extension three years running, and the three-year streak itself; sources only show single-year lateness	18 small public companies filed annual reports past the legal extension three years runnin
S132	Contradicted	medium	3	B	blind	False		False	government		Louisiana re-inspected only 90 of 182 hazardous-waste manufacturing plants in five years, 
S133	Known pattern	medium	3	B	blind	False		False	government		40 of 102 working major cement plants drew a serious Clean Air Act violation in 2020-25, t
S134	Matched + more	medium	3	B	blind	False	2022-03-18	True	news	21 monthly acute violations and the national rank: 21 of 54 such violations since 2015, next-worst 6	Yuma, Arizona's water plant broke the acute chlorine-dioxide limit 21 months straight; non
S135	Known pattern	low	4	B	blind	False		False	research		17 landfills stopped filing federal climate reports with no legal way out; at least five h
S136	Unreported	medium	3	B	blind	False		False			Oregon logged zero state water-permit inspections in the federal file for 22 months; its w
S137	Matched + more	medium	3	B	blind	False	2025-01-15	False	government	433 permits over limits in 8+ of 12 quarters in both windows, Missouri 97 and Ohio 68, half each state's chronic violators vs 18% elsewhere	433 wastewater permits broke discharge limits in most quarters for six years with no forma
S138	Matched + more	high	2	B	blind	True	2025-10-29	True	news,research	+6.08 Mt CO2e, rank 1 of 6,021 facilities reporting both years; next-biggest rise +2.90	Cheniere's Sabine Pass gas-export terminal went from 0.18 to 6.26 million tonnes of greenh
S139	Contradicted	high	2	B	blind	False	2026-01-28	False	government,news	second of 86 plants; notices on 133 days; peers' median 28 formal actions per 100 notices; Phillips 66 Rodeo 213 notices	Tesla's Fremont plant drew 356 Bay Area air violation notices since 2019, second of 86 pla
S140	Matched + more	high	3	B	blind	False	2022-02-23	True	government,news	"the 2020-23 comparison, 641 ""Squaw"" names changed vs at least 41 ""Negro"" or n-word ones; 105 names with the n-word listed as an older name"	"438 place names still say ""Negro""; in 2020-23, 641 ""Squaw"" names changed vs at least 41 ""N"
S141	Matched + more	low	3	B	blind	False	2025-09-30	False	government	375 published FY2025 (+25%), median circuit fell 17%, 363 of 375 argued	The 4th Circuit appeals court published 375 decisions in fiscal 2025, up 25% from 2019; th
S142	Matched + more	high	2	B	blind	True	2026-02-10	True	news,research	24% of all new federal civil cases in Mar 2026, and the Oct 2025-Mar 2026 win split 7,340 to 831	Detained immigrants' release petitions (habeas): 33 in Oct 2024, about 8,820 in Mar 2026, 
S143	Matched + more	high	3	B	blind	False	2024-03-25	True	news,research	19 of 295 argued cases since 2020 (6.4%) and the lowest-since-1946 comparison	Since 2020 only 19 of 295 argued Supreme Court cases came from state courts, the lowest sh
S144	Matched + more	high	4	B	blind	False	2022-09-10	True	news	49 of Massachusetts' 303 type-07 maker licenses (16%), and only two US buildings hold 10+ separate maker licensees	One building at 410 Great Rd, Littleton, Massachusetts holds 49 separate federal gun-maker
S145	Matched + more	medium	3	B	blind	False	2018-12-31	True	news	77 checks in 2022, 0.17 per 100 dealer checks, last of the 10 law states vs a 2.2 median	Vermont logged 77 private-sale gun background checks in 2022: 0.17 per 100 dealer checks, 
