#,who's involved,the plain question,why it matters,status,exact warehouse tables,total rows,time window,effort to check,watch out for
11,"Hospitals losing money, and their doctors",Do money-losing hospitals still have doctors taking big drug company payments?,Would look hypocritical — cutting care while doctors profit,"Partially checked, real data found",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,"16,967,082",2023,"Medium — partial run, needs finishing",
12,Long-term care hospitals,Do hospitals with financial trouble also have padded ventilator equipment billing?,Would show equipment fraud on the sickest patients,"Partially checked, small group so far",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_LTCH | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"17,689,980",2023,"Medium — partial run, needs finishing",
13,Nursing homes with fire safety violations,Do owners re-register the business right after getting fire-safety fines?,Would show dodging accountability by changing names,Merged into another lead — see #30,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,"214,455",2016-2026,"Medium — partial run, needs finishing",see #30
14,Rural health clinics,Are clinics claiming to be 'rural' actually sitting in cities?,Would show fraud on a rural subsidy program,"Dead end as asked, simpler version might work",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,"5,530",snapshot,Skip — already ruled out,
15,Companies banned from federal contracts,Are banned companies still getting paid on disaster relief contracts?,Would be straightforward government fraud,"Confirmed — 26 banned companies, $169 million in contracts",LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,321,752",untimed,Quick — re-run and check the number,"26 banned companies, $169 million in contracts"
16,Diabetes prevention program providers,Are any of them on the federal fraud exclusion list?,Would catch fraud in a diabetes program,"Checked, came back clean — none found",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,"84,784",snapshot,"Medium — partial run, needs finishing",none found
17,Banks and the pollution sites they finance,Same as #3 but through a different bank record,Would show hidden bank-to-polluter money,Dead end — that bank ID field is empty everywhere,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"5,327,985",n/a,Skip — already ruled out,that bank ID field is empty everywhere
18,Surgeons who get paid royalties on medical devices,Do they order more of that device at the hospital they work for?,Would show doctors profiting from their own device choices,"Partially checked, real dollars found ($847M)",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,"15,501,229",2024 one year,"Medium — partial run, needs finishing",
19,Doctors who get quality bonuses from Medicare,Do the ones taking industry payments still get top bonuses?,Would question whether the bonus system actually rewards good care,"Checked, no clear pattern",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"1,920,800",2024,"Medium — partial run, needs finishing",
20,Nursing homes and dialysis clinics,"Are the same people running both, and is that a conflict?",Would show a hidden ownership overlap,"Small group found, no clear story yet",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,"2,260,193",snapshot,"Medium — partial run, needs finishing",
21,Hospital workers vs. everyone else nearby,Do hospital employees get paid less than the local average wage?,Would show hospitals underpaying staff while cutting corners,"Partially checked, real signal",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"3,625,540",2022 vs 2023,"Medium — partial run, needs finishing",
22,Neighborhoods once graded 'hazardous' for housing loans in the 1930s,Do those same neighborhoods have more toxic factories today?,Would prove 90-year-old racist housing policy still poisons people today,CONFIRMED — worst-graded areas have 18x more toxic sites than the best,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023 | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"276,792",current,Quick — re-run and check the number,worst-graded areas have 18x more toxic sites than the best
23,Medical equipment suppliers banned from Medicare,How much money did banned suppliers still collect?,"Straightforward fraud, easy to state in dollars","Confirmed — $1.4 billion, one company alone took $860 million",LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,"524,417",ingested 2026-07,Quick — re-run and check the number,"$1.4 billion, one company alone took $860 million"
24,Doctors in a brand-new Medicare payment program,"Nothing to compare yet, program just started",Sets a baseline to check for fraud once the program is running,Too early — nothing to find yet,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,"6,637",2027 start,"Medium — partial run, needs finishing",nothing to find yet
25,Community health centers,Are centers whose local site shut down still collecting Medicare money as if open?,Would show phantom clinics still billing,"Small number found, worth another look",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS,"221,023",since 2020,"Medium — partial run, needs finishing",
26,"Counties hit by big storms, and government-subsidized housing",Does housing sit empty after a big storm instead of getting rebuilt?,Would show disaster recovery money not reaching people,"Setup works, needs a real run",LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"1,794,280","1996-2025, one MFH snapshot","Medium — partial run, needs finishing",
27,People applying to become Medicare providers,Are any of them already banned for past fraud?,Would catch fraud before it even starts,"Confirmed — 9 found, small but real",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,"2,358,060",2026-07 snapshot,Quick — re-run and check the number,"9 found, small but real"
28,Nursing homes and how sick they say their patients are,Do homes exaggerate patient sickness to get paid more?,Would be a well-known Medicare fraud pattern,"Partially checked, one time period only so far",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,"31,836,407",one quarter,"Medium — partial run, needs finishing",
29,Hospitals near heavy pollution,Do hospitals near the most toxic sites fail financially more often?,Would show pollution driving hospital closures,"Partially checked, one number looks suspicious and needs a second look",LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"115,522",2015-2024,"Medium — partial run, needs finishing",
30,Nursing home owners,"Do new owners appear right after a home gets penalized, like a shell game?",Would show owners dodging penalties by 'selling' to themselves,Confirmed — 39 homes did exactly this,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"30,605",penalties 2023-06 on,Quick — re-run and check the number,39 homes did exactly this
31,Hospitals that also own home health agencies,Do hospital-owned home health agencies perform worse but cost more?,Would show hospitals steering patients to their own worse service,"Confirmed pattern, but it cuts both ways — mixed result",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH,"33,075",snapshot,Quick — re-run and check the number,mixed result
76,Executives at public nursing home and hospital companies,Do they sell their company stock right before bad news like a fine hits?,"Classic insider-trading-style question, applied to health care",Not checked yet,LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"2,697,968","2025Q1+, check quarters",Medium — first probe query needed,"no query run yet, treat any first number as unverified"
77,Federal judges,Do they own stock in companies whose cases they're deciding?,Would be a serious conflict of interest,Not checked yet,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"12,810,285",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
78,U.S. Senators,Do they trade stock in industries their own committee oversees?,The core 'Congress insider trading' question,Not checked yet,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP | LIBRARY_RAW.LANDING.FED_VOTEVIEW_ROLLCALLS,"957,752",30-day windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
79,Banks that failed,Did they quietly switch auditors right before collapsing?,Would show a warning sign nobody flagged in time,Not checked yet,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS,"2,981,945",2017+,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
80,Companies whose own auditors doubt they can survive,Do they still keep winning government contracts?,Would show the government not checking a known red flag,Not checked yet,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,565,062",after FY end,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
81,Company pension plans that collapse onto the government,Did executives sell their own stock right before the collapse?,Would show executives cashing out while workers' pensions failed,Not checked yet,LIBRARY_MARTS.LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS | LIBRARY_RAW.LANDING.FED_DOL_FORM5500_FULL | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1 | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,"6,983,857",termination year,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
82,Local labor unions,Do unions reporting missing money also have an active political fund?,Would be a red flag on where union dues go,Not checked yet,LIBRARY_MARTS.LABOR.LABOR__FED_DOL_OLMS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"677,741",same fiscal year,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
83,Health care industry lobbyists,Does lobbying spending spike right before a new safety rule is finalized?,Would show industry trying to weaken rules before they lock in,Not checked yet,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS | LIBRARY_MARTS.REGULATORY.REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,"914,380",comment windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
84,Members of Congress who oversee Medicare,Who's spending money for or against them in elections?,Would show who wants influence over Medicare oversight,Not checked yet,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"308,215",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
85,Drug and device company political money,Does it flow from their corporate PAC into top leaders' campaign funds?,Would trace industry money's path to power,Not checked yet,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC,"15,453,697",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
86,Political advertisers on Google,Are big-spending political advertisers avoiding official campaign finance reporting?,Would show a loophole in campaign finance transparency,Not checked yet,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"374,229",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
87,Registered foreign lobbyists,Do they also personally donate to U.S. political campaigns?,Foreign influence question,Not checked yet,LIBRARY_RAW.LANDING.FED_FARA_BULK | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,394,012",registration window,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
88,People who run political nonprofits,Are the same people also treasurers of federal campaign committees?,Would show one person managing both a public and 'dark money' operation,Not checked yet,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_DIRECTORS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"249,624",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
89,State-level lobbyists,Do the same people wine and dine state lawmakers and donate federally?,Would show a two-level influence operation,Not checked yet,LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER | LIBRARY_MARTS.POLITICS.POLITICS__CA_LOBBY_COVER | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,980,743",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
90,"Government officials who leave for the private sector, or vice versa",Do agency contracts shift toward an official's old industry after they arrive?,"The 'revolving door' question, with real contract dollars",Not checked yet,LIBRARY_MARTS.GOVERNANCE.GOVERNANCE__FED_REVOLVINGDOOR_PROJECT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,153,830",no dates landed,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
91,Members of Congress,"Do they buy a stock, then introduce a bill that helps it?",A more specific insider-trading pattern,Not checked yet,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_RAW.LANDING.FED_GOVINFO_BILLSTATUS | LIBRARY_RAW.LANDING.FED_GOVINFO_BILL_COSPONSORS,"412,557",90-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
92,Congressional offices,Does office spending go to vendors who are also campaign donors?,Would show taxpayer money looping back to donors,Not checked yet,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"89,086,588",by quarter,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
93,Counties running elections,Do places with more rejected mail ballots overlap with high-incarceration areas?,Would connect two forms of disenfranchisement,"Not checked yet, missing a reference guide",LIBRARY_MARTS.POLITICS.POLITICS__FED_EAC_EAVS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"164,603",survey cycles,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
94,Federal judges,Does a judge's political leaning or donations predict how they rule?,A long-debated fairness-of-the-courts question,Not checked yet,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"95,037,994",by judge,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
95,Federal judges,Do gifts or debts they report ever involve parties in their own courtroom?,Would be a direct conflict of interest,Not checked yet,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,"54,272",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
96,Communities that opted out of flood insurance,Do they still get disaster payouts for flood damage?,Would show a gap in the insurance system,Not checked yet,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"26,276,045",per disaster,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
97,Neighborhoods hit by disaster three or more times,Are they being rebuilt each time instead of relocated?,Would question the wisdom of repeatedly rebuilding in harm's way,Not checked yet,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"26,300,071",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
98,Nursing homes located near unsafe dams,Are any sitting downstream of a dam rated poor with no emergency plan?,Would be a public safety hazard nobody's tracking,Not checked yet,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME,"107,466",last inspection,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
99,Mining companies,Do the ones with unsafe dams also have a pile of unpaid safety fines?,Would show a company ignoring safety on two fronts,Not checked yet,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_MINES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS,"3,271,937",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
100,Companies that win disaster relief contracts,Did they spring up right after the disaster was declared?,Would show opportunists forming shell companies to grab relief money,Not checked yet,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"119,404,344",60-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
101,Counties hit hard by flooding,Are they still using outdated flood maps?,Would show regulators failing to update risk after real damage,Not checked yet,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,"1,805,855",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
102,"Counties with lots of oil, gas, and fracking activity",Do they also have the worst drinking water problems?,Would show industrial activity stacking up to hurt water quality,Not checked yet,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"22,752,998",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
103,Companies that report chemical or oil spills,Do they still win federal contracts afterward?,"Would show spillers getting rewarded, not penalized",Not checked yet,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,"94,350,772",same years,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
104,Small aircraft owned by shell companies,Do the same addresses show up behind multiple fatal crashes?,Would show unsafe operators hiding behind shell companies,Not checked yet,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,"377,918",by event,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
105,Railroad crossings,Do the same crossings get hit by trains again and again?,Would show known danger spots never getting fixed,"Not checked yet, no full list of crossings available",LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES,"1,401,937",2010+,Medium — first probe query needed,"no query run yet, treat any first number as unverified"
