idea_id,bucket,source_ids,source_names,domain,title,idea,chart_shape,key_fields,join_key,time_axis,geo_grain,harm_angle,strength,rigor,caveat
V0023,single,xc_wikipedia_largest_us_companies,XC_WIKIPEDIA_LARGEST_US_COMPANIES,corporate,Revenue per employee across the top 100,Plot each company as a dot with revenue on one axis and headcount on the other; distance from the diagonal shows how much revenue each worker generates. Outliers are the leanest-staffed giants.,scatter,revenue_usd_millions|employees|name|industry,,no,national,Workers at the extreme revenue-per-head firms carry output that used to take many more people.,medium,plausible-from-metadata,"Snapshot only (100 rows, no year column) so no trend is possible; employees may be text."
V0024,single,xc_wikipedia_largest_us_companies,XC_WIKIPEDIA_LARGEST_US_COMPANIES,corporate,Where the biggest employers actually sit,"Map each company to its headquarters city, sized by headcount and colored by industry. Shows how concentrated corporate command is in a handful of metros.",map,headquarters|employees|industry|name,,no,point,Regions with no headquarters have no local lever over the firms that employ them.,medium,plausible-from-metadata,Headquarters is free text and needs geocoding; no lat/lon column exists.
V0025,single,xc_wikipedia_largest_us_companies,XC_WIKIPEDIA_LARGEST_US_COMPANIES,corporate,Growth winners and shrinkers by industry,"Ranked bars of revenue growth grouped by industry, so whole sectors that are contracting stand apart from sectors that are booming.",ranked bars,revenue_growth|industry|name,,no,none,Sector-wide contraction is the leading edge of mass layoffs.,medium,plausible-from-metadata,Revenue growth is likely a percent string needing parsing.
V0026,single,xc_wikipedia_largest_us_companies,XC_WIKIPEDIA_LARGEST_US_COMPANIES,corporate,The concentration curve of the top 100,"A cumulative curve showing what share of total top-100 revenue the first 5, 10 and 25 firms hold. Makes the steepness of corporate concentration visible in one line.",distribution,rank|revenue_usd_millions,,no,national,Concentrated revenue means concentrated pricing power over ordinary buyers.,medium,plausible-from-metadata,Only covers the top 100 so it understates the true national tail.
V0027,single,fed_sec_edgar,SEC EDGAR (data.sec.gov API),corporate / securities,Filings By Industry And Form,"Heatmap grid of SIC industry against form type, showing which sectors file what and how often.",heatmap grid,sic|sicdescription|form|filedat|entityname,,yes,national,Filing patterns show which industries face real disclosure and which slip through.,medium,plausible-from-metadata,"Only 200 rows landed -- a sample, not the corpus."
V0028,single,fed_sec_edgar,SEC EDGAR (data.sec.gov API),corporate / securities,Incorporation Versus Operations,"Map of state of incorporation against entity location, showing the Delaware concentration.",map,stateofincorporation|entityname|cik|sic,,no,state,Incorporating in one state to escape another state investor and worker protections.,high,plausible-from-metadata,200-row sample and the business-location field is not in this select list.
V0029,single,fed_sec_edgar,SEC EDGAR (data.sec.gov API),corporate / securities,Reporting Lag After Period End,"Distribution of days between report date and filing date, by form type.",distribution,reportdate|filedat|form|cik,,yes,national,Late filers keep investors and employees in the dark past the legal window.,medium,plausible-from-metadata,Tiny sample and date types unverified.
V0030,single,fed_sec_edgar_company_tickers,SEC EDGAR Company Tickers,corporate / securities,Companies With Many Tickers,Ranked bars of CIKs carrying multiple ticker symbols -- the multi-share-class structures.,ranked bars,cik|ticker|company_title|index_key,,no,national,Dual-class structures let founders keep control while outside shareholders carry the risk.,medium,plausible-from-metadata,"10,414 rows; multi-class detection assumes one row per ticker."
V0031,single,fed_sec_edgar_company_tickers,SEC EDGAR Company Tickers,corporate / securities,Ticker Bridge Coverage Check,"Distribution of how many CIKs in the map carry a usable ticker, as a join-quality floor chart.",distribution,ticker|company_title|cik,,no,national,Weak on its own; it proves whether the CIK-to-ticker bridge is populated enough to trust joins on.,wild,plausible-from-metadata,Descriptive only; value is as a data-quality check rather than a finding.
V0032,single,fed_us_sec_edgar,SEC EDGAR (full-text/REST),corporate / securities,IPO And Prospectus Waves,"Timeline of registration and prospectus filings by month, showing the boom-bust rhythm of new offerings.",timeline,filed_year|filed_month|is_registration_or_prospectus|form_type,,yes,national,Offering waves mark when retail investors were pulled into the riskiest new issues.,high,plausible-from-metadata,"48,984 rows may be a partial crawl rather than full EDGAR."
V0033,single,fed_us_sec_edgar,SEC EDGAR (full-text/REST),corporate / securities,Annual Report Gaps By Company,Cohort grid of CIK by year showing which registrants skipped an annual report.,cohort grid,cik|entity_name|is_annual_report|filed_year,,yes,national,A registrant that stops filing annual reports leaves shareholders with no financial picture.,high,plausible-from-metadata,"Partial crawl means missing rows may be collection gaps, not filing gaps."
V0034,single,fed_us_sec_edgar,SEC EDGAR (full-text/REST),corporate / securities,Industry Filing Concentration,"Ranked bars of SIC codes by filing volume, shaded by state of incorporation.",ranked bars,sic_code|state_of_incorporation|form_type|filed_year,,yes,state,"Where filings concentrate is where regulatory attention already is, and where it is not.",medium,plausible-from-metadata,sic_code fill rate unverified.
V0035,single,fed_us_sec_edgar,SEC EDGAR (full-text/REST),corporate / securities,ISIN And EIN Coverage Audit,"Grid of filings by whether ISIN, EIN and ticker are populated, by year -- a bridge-quality map.",heatmap grid,isin|ein|ticker|cik|filed_year,,yes,national,Broken identifiers are why corporate harm cannot be traced across datasets.,high,plausible-from-metadata,This is exactly the masked-id trap: columns may look full but hold blanks.
V0036,single,INTL_GLEIF,GLEIF LEI2 Golden Copy,corporate identity,Lapsed Global Company IDs,Ranked bars by country of the share of LEIs whose registration status is lapsed rather than issued.,ranked bars,REGISTRATION_REGISTRATIONSTATUS|ENTITY_LEGALADDRESS_COUNTRY|REGISTRATION_NEXTRENEWALDATE,,no,international,Lapsed identifiers break the audit trail regulators rely on to follow money.,high,plausible-from-metadata,3.4M rows and the status vocabulary is unverified.
V0037,single,INTL_GLEIF,GLEIF LEI2 Golden Copy,corporate identity,Legal Address Versus Headquarters,"Flow diagram from legal-address country to headquarters country, exposing the letterbox-jurisdiction gap.",flow/sankey,ENTITY_LEGALADDRESS_COUNTRY|ENTITY_HEADQUARTERSADDRESS_COUNTRY|ENTITY_LEGALNAME,,no,international,Companies legally domiciled where they have no operations are avoiding somebody tax or regulator.,high,plausible-from-metadata,Both country fields must be well populated and fill rate is unverified at this scale.
V0038,single,INTL_GLEIF,GLEIF LEI2 Golden Copy,corporate identity,Entity Death And Succession,"Timeline of entity expiration dates by reason, with successor LEIs traced forward.",timeline,ENTITY_ENTITYEXPIRATIONDATE|ENTITY_ENTITYEXPIRATIONREASON|ENTITY_SUCCESSORENTITY_1_SUCCESSORLEI,,yes,international,Following the successor chain is how liabilities get shed while the business continues.,high,plausible-from-metadata,Successor fields are sparse by design; only some dissolutions record them.
V0039,single,INTL_GLEIF,GLEIF LEI2 Golden Copy,corporate identity,Who Validates The World Companies,"Ranked bars of managing local operating units by number of LEIs, showing concentration in the identity infrastructure.",ranked bars,REGISTRATION_MANAGINGLOU|REGISTRATION_REGISTRATIONSTATUS|ENTITY_LEGALADDRESS_COUNTRY,,no,international,A handful of private registrars gatekeep the global corporate identity record.,medium,plausible-from-metadata,LOU identifiers are opaque codes needing a lookup.
V0040,single,INTL_GLEIF,GLEIF LEI2 Golden Copy,corporate identity,Havens Punching Above Weight,"Map of LEI counts per country normalized by population, exposing micro-jurisdictions hosting outsized company counts.",map,ENTITY_LEGALADDRESS_COUNTRY|ENTITY_LEGALJURISDICTION|LEI,,no,international,Tiny jurisdictions hosting millions of companies is the visible signature of the offshore system.,high,plausible-from-metadata,Population is an external dataset that must be sourced elsewhere.
V0041,single,fed_icij_offshoreleaks_addresses,ICIJ Offshore Leaks Addresses,corporate registry,Addresses Shared by Many Entities,"Ranked bars of address nodes by how many offshore entities and officers cluster at them, naming the buildings that host thousands of vehicles.",ranked bars,address|node_id|countries|country_codes|source_leak,,no,international,One building holding five thousand companies is the physical address of hidden money.,high,plausible-from-metadata,"This table is address nodes only; counting linked entities requires the relationship edges, which may not be in this slice."
V0042,single,fed_icij_offshoreleaks_addresses,ICIJ Offshore Leaks Addresses,corporate registry,Offshore Address Geography by Leak,"Map of address countries shaded by count, small-multipled by source leak, showing how the geography of secrecy shifted between the successive leaks.",map,country_codes|countries|source_leak|address,,no,international,"Each leak captured a different era's preferred hiding place, and the shift shows where enforcement pushed the money next.",high,plausible-from-metadata,"Leaks have different collection scopes, so differences may reflect what leaked rather than what exists."
V0043,single,fed_icij_offshoreleaks_addresses,ICIJ Offshore Leaks Addresses,corporate registry,Address Records That Expired,"Timeline of the validity cutoff per leak, showing when the snapshot of each address stopped being current.",timeline,valid_until|source_leak|country_codes|note,,yes,international,Knowing the data's expiry date is how you avoid accusing someone based on a decade-old record.,medium,plausible-from-metadata,"valid_until is a provenance note string, likely not a clean date, and may be unparseable."
V0044,single,fed_icij_offshoreleaks_entities,ICIJ Offshore Leaks Entities,corporate registry,The Jurisdiction League Table,"Ranked bars of jurisdictions by count of offshore entities split by leak, naming the handful of places that host most of the world's shell companies.",ranked bars,jurisdiction|jurisdiction_description|source_leak|node_id,,no,international,A few tiny jurisdictions host the structures that let wealth escape the tax that funds schools and hospitals everywhere else.,high,plausible-from-metadata,"Counts reflect what leaked from specific providers, not the true global population of offshore entities — that caveat must be on the chart."
V0045,single,fed_icij_offshoreleaks_entities,ICIJ Offshore Leaks Entities,corporate registry,Incorporation Waves Over a Century,"Timeline of incorporation dates by jurisdiction, showing the boom years for each secrecy haven and how they trade places over decades.",timeline,incorporation_date|jurisdiction|source_leak|company_type,,yes,international,Each boom follows a law change somewhere else — the timeline maps how money outruns regulation.,high,plausible-from-metadata,Incorporation dates may be text in mixed formats; coverage is skewed by which providers happened to leak.
V0046,single,fed_icij_offshoreleaks_entities,ICIJ Offshore Leaks Entities,corporate registry,Service Providers Behind the Structures,"Ranked bars of service providers by entity count and jurisdiction spread, naming the firms that manufacture offshore vehicles at industrial scale.",ranked bars,service_provider|jurisdiction|node_id|status,,no,international,"A handful of firms built most of these structures, which makes them the accountable actors, not the anonymous owners.",high,plausible-from-metadata,Limited to the providers that were leaked; absence from this list is not innocence.
V0047,single,fed_icij_offshoreleaks_entities,ICIJ Offshore Leaks Entities,corporate registry,Struck Off Right After the Leak,"Distribution of struck-off and inactivation dates relative to each leak's publication, testing whether entities were dissolved en masse once exposed.",distribution,struck_off_date|inactivation_date|dorm_date|source_leak|incorporation_date,,yes,international,A dissolution spike right after exposure is evidence the structures were doing something their owners did not want seen.,high,plausible-from-metadata,Publication dates are not a column here and must be supplied by hand; struck-off dates may postdate the snapshot and be missing entirely.
V0048,single,fed_icij_offshoreleaks_entities,ICIJ Offshore Leaks Entities,corporate registry,Entities That Changed Their Name,"Ranked bars of entities whose original or former name differs from the current one, by jurisdiction, showing where renaming is routine practice.",ranked bars,name|original_name|former_name|jurisdiction|service_provider,,no,international,Renaming an offshore vehicle breaks the paper trail linking it to whatever it did before.,medium,plausible-from-metadata,former_name and original_name fill rates are unverified and may be near-empty.
V0049,single,INT_UK_COMPANIES_HOUSE,UK Companies House Full Register,corporate registry,Companies at the Same Address,"Ranked bars of registered addresses by number of companies registered there, surfacing the mailbox addresses hosting thousands of shells.",ranked bars,reg_address_address_line1|reg_address_post_code|company_name|company_number|company_status,,no,international,Mass-registration addresses are the plumbing of the fraud that empties real people's bank accounts.,high,plausible-from-metadata,Address strings need normalizing; the top of the list will include legitimate company-formation agents that must be labeled as such.
V0050,single,INT_UK_COMPANIES_HOUSE,UK Companies House Full Register,corporate registry,Serial Renaming Companies,"Ranked bars of companies by how many previous names they carry, plotted against incorporation date. Ten name changes is a pattern, not housekeeping.",ranked bars,previous_name_1_company_name|previous_name_10_company_name|company_number|incorporation_date|company_status,,yes,international,Renaming is how a company sheds a bad reputation and keeps trading with the same victims.,high,plausible-from-metadata,"Ten fixed name slots cap the count at ten, so a company with thirty renames looks identical to one with ten."
V0051,single,INT_UK_COMPANIES_HOUSE,UK Companies House Full Register,corporate registry,Overdue Accounts by Sector,"Heatmap grid of industry sector against how overdue the next accounts filing is, showing which industries systematically ignore filing deadlines.",heatmap grid,sic_code_sic_text_1|accounts_next_due_date|accounts_last_made_up_date|company_status,,yes,international,Companies that never file accounts are invisible to anyone they owe money to.,high,plausible-from-metadata,SIC text is a combined code and description string; date fields may be text needing a parse.
V0052,single,INT_UK_COMPANIES_HOUSE,UK Companies House Full Register,corporate registry,Company Lifespan Distribution,"Distribution of days from incorporation to dissolution by company category, showing the sectors where companies are born and killed within a year.",distribution,incorporation_date|dissolution_date|company_category|sic_code_sic_text_1,,yes,international,"Very short-lived companies in certain sectors are the signature of phoenix trading, where debts die and the same business restarts.",high,plausible-from-metadata,Dissolution date is null for live companies; survivorship must be handled explicitly or the distribution lies.
V0053,single,INT_UK_COMPANIES_HOUSE,UK Companies House Full Register,corporate registry,Mortgage Charges Never Satisfied,"Scatter of outstanding versus satisfied mortgage charges per company, with the far corner — many outstanding, none satisfied — as the flagged zone.",scatter,mortgages_num_mort_outstanding|mortgages_num_mort_satisfied|mortgages_num_mort_charges|company_status|sic_code_sic_text_1,,no,international,"Unsatisfied charges pile up where creditors, often small suppliers, never got paid.",medium,plausible-from-metadata,"Charge counts are a snapshot of the register, not a payment history."
V0054,single,intl_es_borme,Spain BORME mercantile gazette,corporate registry,Spanish Corporate Acts By Type,"Ranked bars of act types (incorporation, dissolution, capital change, appointments) by province.",ranked bars,act_type|act_description|province|date,,yes,international,Corporate churn by region shows where Spanish businesses and their workers are collapsing.,medium,plausible-from-metadata,"Only 28 rows landed -- effectively a probe, not a dataset."
V0055,single,intl_es_borme,Spain BORME mercantile gazette,corporate registry,Gazette Coverage Check,"Timeline of issue dates present, purely to show how thin the current landing is.",timeline,date|borme_issue_number|section|cve,,yes,international,Nothing yet; the value is knowing the source is unusable until re-landed.,wild,plausible-from-metadata,"28 rows: this is a coverage audit, not a finding."
V0056,single,intl_ie_cro,Ireland CRO company register,corporate registry,Irish Company Formation Waves,"Timeline of incorporations by year, with the Celtic Tiger and post-2008 collapse visible.",timeline,incorporation_year|incorporation_date|company_type,,yes,international,Formation and dissolution waves mark when Irish workers employers appeared and vanished.,high,plausible-from-metadata,"818,930 rows and status vocabulary is unverified."
V0057,single,intl_ie_cro,Ireland CRO company register,corporate registry,Companies That Never Aged,"Distribution of company age at dissolution by company type, showing the short-lived shell population.",distribution,company_age_years|company_status|company_type|incorporation_date,,yes,international,"Companies dissolved within a year or two are often vehicles, not businesses.",high,plausible-from-metadata,Age is computed to the current date and dissolved companies may lack a dissolution date here.
V0058,single,intl_ie_cro,Ireland CRO company register,corporate registry,Dublin Address Concentration,Dot plot of registered addresses hosting hundreds of companies -- the Irish corporate service industry.,dot plot,registered_address|company_name|company_type,,no,international,One Dublin address hosting thousands of companies is the visible face of profit shifting.,high,plausible-from-metadata,Address is a single free-text field needing normalization.
V0059,single,intl_ie_cro,Ireland CRO company register,corporate registry,Status Mix By Company Type,"Heatmap grid of company type against status, showing which legal forms end in strike-off most often.",heatmap grid,company_type|company_status|incorporation_year,,yes,international,Legal forms with high strike-off rates are the ones creditors and workers should fear.,medium,plausible-from-metadata,Status categories may include historical codes with unclear meaning.
V0060,single,intl_uk_companies_house,UK Companies House,corporate registry,UK Company Formation And Death,"Timeline of incorporations and dissolutions by month, showing net company creation across cycles.",timeline,incorporation_date|dissolution_date|company_status|is_active,,yes,international,Mass dissolutions mark where jobs and unpaid creditors were left behind.,high,plausible-from-metadata,"5.7M rows and the catalog shows no ingestion timestamp, so freshness is unknown."
V0061,single,intl_uk_companies_house,UK Companies House,corporate registry,Postcodes Hosting Thousands Of Firms,"Map of post codes by count of registered companies, exposing mail-forwarding addresses used at industrial scale.",map,post_code|post_town|address_line_1|company_name,,no,international,Thousands of companies at one postbox is the standard setup for fraud and phoenix trading.,high,plausible-from-metadata,Address lines are unnormalized and a single address may split across variants.
V0062,single,intl_uk_companies_house,UK Companies House,corporate registry,Charges Against Small Companies,"Scatter of outstanding mortgage charges against company age, by category, showing who is loaded with secured debt.",scatter,num_mortgages_outstanding|num_mortgage_charges|incorporation_date|company_category,,yes,international,Secured lenders get paid first when these firms fail; employees and suppliers do not.,medium,plausible-from-metadata,Charge counts may be historical totals rather than current positions.
V0063,single,intl_uk_companies_house,UK Companies House,corporate registry,Dormant Accounts Share,Ranked bars by company category of the share filing dormant or micro-entity accounts.,ranked bars,account_category|company_category|company_status|is_active,,no,international,Dormant filings are how active trading is hidden from the public accounts.,high,plausible-from-metadata,account_category vocabulary unverified.
V0064,single,intl_uk_companies_house,UK Companies House,corporate registry,Foreign-Origin Companies Mapped,"Map of country of origin for UK-registered companies, showing which jurisdictions route through Britain.",map,country_of_origin|country|county|company_status,,no,international,Britain as a routing layer for foreign capital is how ownership gets one more step from scrutiny.,medium,plausible-from-metadata,country_of_origin fill rate unverified and may be near-empty for domestic firms.
V0065,single,uk_companies_house_psc,UK_COMPANIES_HOUSE_PSC,corporate registry,Who really controls UK companies,"Ranked bars of natures of control across all PSC records, showing how control is most commonly declared and how often it is the vaguest available category.",ranked bars,natures_of_control|kind|company_number|psc_link_self,,no,international,The stated nature of control is the only public answer to who can make a company act; vagueness there is by design.,high,plausible-from-metadata,"SAMPLE ONLY: ~7.0M of ~10M records from a truncated load, so all totals are undercounts and the truncation is not random."
V0066,single,uk_companies_house_psc,UK_COMPANIES_HOUSE_PSC,corporate registry,Controllers who live abroad,"Map of PSC country of residence, showing how much of UK corporate control is exercised from outside the UK.",map,country_of_residence|nationality|company_number|kind,,no,international,Overseas controllers are the hardest for UK regulators and UK claimants to reach when a company causes harm.,high,plausible-from-metadata,Truncated 7M sample; country text is free-form with heavy variant spelling.
V0067,single,uk_companies_house_psc,UK_COMPANIES_HOUSE_PSC,corporate registry,One person hundreds of companies,"Ranked bars of individuals matched on name plus birth month and year, by how many companies they control, surfacing the mass directors.",ranked bars,name|dob_month|dob_year|company_number|nationality,,no,international,A single person nominally controlling hundreds of companies is the classic shell-factory signature behind fraud and wage theft.,high,plausible-from-metadata,Name plus partial DOB is the only available person key and will both merge and split real people; truncated sample undercounts.
V0068,single,uk_companies_house_psc,UK_COMPANIES_HOUSE_PSC,corporate registry,Addresses hosting many controllers,"Map at postcode grain of addresses appearing as the registered address for large numbers of PSCs, isolating the formation-agent hubs.",map,address_postal_code|address_line_1|address_locality|company_number,,no,international,"A single office declared as home by thousands of company controllers is a shell address, and it is where enforcement letters go to die.",high,plausible-from-metadata,Truncated sample; address text needs normalisation before counting shared addresses.
