model,schema,table,column,finding_class,masked_pct,n_rows,verified_live_2026-08-18,evidence
corporate_registry__intl_es_borme,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,BORME_ISSUE_NUMBER,SENTINEL_MASKED_ID,100.0,3,yes,"COUNT(*)=3 COUNT(DISTINCT BORME_ISSUE_NUMBER)=1; every value ''. Trivial table."
transport__fed_fra_safety,TRANSPORT,TRANSPORT__FED_FRA_SAFETY,COUNTY_FIPS,SENTINEL_MASKED_ID,100.0,1,yes,"COUNT(*)=1; value is the literal text 'N/A' (a listed sentinel string), not a real county FIPS code."
justice__intl_eu_socta_europol,JUSTICE,JUSTICE__INTL_EU_SOCTA_EUROPOL,SERIAL_NUMBER,GARBAGE_MISMAP,100.0,26,yes,"COUNT(*)=26 COUNT(DISTINCT SERIAL_NUMBER)=1; every row's value is the literal 3-character fragment 'ion' -- not blank, not a real serial number either. Looks like a column-mapping/parsing accident (a fragment of a longer word, e.g. from a truncated field), not a masked ID. Different failure shape from the blank-string cases above; needs a source-file check before anyone relies on it."
immigration__fed_uscis_data,IMMIGRATION,IMMIGRATION__FED_USCIS_DATA,FORM_NUMBER,GARBAGE_MISMAP,87.45,3204,yes,"COUNT(*)=3204 COUNT(DISTINCT)=97; '' x2,802 (87.5%) but the surviving 13% is NOT form numbers either -- top non-blank values are caption/footnote text ('Notes:', the full DHS/USCIS office name, 'References:', 'Period', a sentence fragment about pending counts). The whole column looks like it's capturing report footnote text, not a form-number field at all. Worse than simple masking: 100% of the column is untrustworthy as an ID."
economics__fed_usaspending_assistance_full,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_ZIP_4,PARTIAL_REAL_GAP,34.85,19902879,no,"From fill_tables.csv (2026-08-11 scan, same COUNT(DISTINCT)+sentinel methodology, not re-queried live this session): 6,936,558 sentinel rows of 19,902,879 (34.85%), distinct=532,000. ZIP+4 is optional precision in federal spending data -- plausibly a real reporting gap rather than a load bug. Flag as partial coverage, not proven broken."
health__fed_fda_establishment_reg,HEALTH,HEALTH__FED_FDA_ESTABLISHMENT_REG,K_NUMBER,PARTIAL_REAL_GAP,51.88,263374,yes,"COUNT(*)=263374 COUNT(DISTINCT)=63855; '' x136,639 (51.9%) but surviving values are well-formed FDA 510(k) numbers (K941541, K080560, ...). Not every registered establishment has a cleared 510(k) submission -- plausibly a real-world absence, not a masking bug. Flag as partial coverage."
justice__intl_eu_sanctions,JUSTICE,JUSTICE__INTL_EU_SANCTIONS,NAAL_LOGICAL_ID,PARTIAL_REAL_GAP,28.59,42347,no,"From fill_tables.csv: 12,105 sentinel rows of 42,347 (28.6%), distinct=30,188 -- majority of the column is real, not re-queried live this session."
economics__intl_gleif,ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYENTITYID,PARTIAL_REAL_GAP,8.76,3382301,no,"From fill_tables.csv: 296,210 of 3,382,301 (8.8%), distinct=2,998,041. GLEIF's validation-authority entity ID is only populated when a national registration authority was used to validate the LEI -- plausibly a real, publisher-side optional field, not a load bug."
open_data__intl_ar_datosgob,OPEN_DATA,OPEN_DATA__INTL_AR_DATOSGOB,DATASET_ID,PARTIAL_REAL_GAP,6.30,3556,no,"From fill_tables.csv: 224 of 3,556 (6.3%), distinct=500. Minority gap, not re-queried live."
energy__intl_ember_elec,ENERGY,ENERGY__INTL_EMBER_ELEC,ISO_3_CODE,PARTIAL_REAL_GAP,5.99,369264,no,"From fill_tables.csv: 22,113 of 369,264 (6.0%), distinct=217, class=link. Minority gap in a country-code join column, not re-queried live."
procurement__intl_ec_sercop,PROCUREMENT,PROCUREMENT__INTL_EC_SERCOP,TENDER_ID,PARTIAL_REAL_GAP,2.88,132995,no,"From fill_tables.csv: 3,835 of 132,995 (2.9%), distinct=129,530. Small minority gap, not re-queried live."
politics__fed_congress_legislators,POLITICS,POLITICS__FED_CONGRESS_LEGISLATORS,GOOGLE_ENTITY_ID,PARTIAL_REAL_GAP,1.20,12847,no,"From fill_tables.csv: 154 of 12,847 (1.2%), distinct=12,933. GOOGLE_ENTITY_ID is a third-party cross-reference, not every legislator has one -- plausibly real, not re-queried live."
economics__fed_dol_form5500,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_PHONE_NUM,HEURISTIC_FALSE_POSITIVE,1.12,33484,no,"From fill_tables.csv: 376 of 33,484 (1.1%). This is a phone number, not an entity identifier -- the census scan's ID-shaped-column regex matched on '_NUM' and picked it as 'best key' even though it was never meant to identify rows. The masking is trivial and irrelevant since this was never a real key candidate."
health__fed_cms_pos_other,HEALTH,HEALTH__FED_CMS_POS_OTHER,PHNE_NUM,HEURISTIC_FALSE_POSITIVE,1.20,44429,no,"From fill_tables.csv: 531 of 44,429 (1.2%). Same shape as DOL_FORM5500 above -- a phone-number column mislabeled as an ID by the scan's regex, not a real join-key candidate to begin with."
health__fed_cms_hospice,HEALTH,HEALTH__FED_CMS_HOSPICE,TELEPHONE_NUMBER,HEURISTIC_FALSE_POSITIVE,1.09,6852,no,"From fill_tables.csv: 75 of 6,852 (1.1%). Same shape -- a phone number, not an identifier."
health__fed_cdc_health_insurance,HEALTH,HEALTH__FED_CDC_HEALTH_INSURANCE,QUARTILE_NUMBER,HEURISTIC_FALSE_POSITIVE,31.39,16056,yes,"COUNT(*)=16056; '' x5,040 (31.4%), plus '1'/'2'/'3'/'4' (real quartile buckets) and '-1' x276 (a not-applicable code). This is a categorical quartile bucket (1-4), not a per-row identifier -- the scan's ID-shaped regex matched on '_NUMBER' and picked it as 'best key' by mistake. Was never a real join-key candidate."
justice__fed_uscourts_stats,JUSTICE,JUSTICE__FED_USCOURTS_STATS,TABLE_NUMBER,HEURISTIC_FALSE_POSITIVE,32.00,50,yes,"COUNT(*)=50; '' x16 (32%), rest are real US Courts statistical-table codes (F-2, C-4, J-1, ...). 50-row reference table (class=aggregate); low stakes and the column is real where populated -- some rows in the source table apparently lack a table designation."
science_research__xc_biorxiv_medrxiv,SCIENCE_RESEARCH,SCIENCE_RESEARCH__XC_BIORXIV_MEDRXIV,LICENSE,HEURISTIC_FALSE_POSITIVE,86.11,432,yes,"COUNT(*)=432; '' x372 (86.1%), rest are real license codes (cc_by, cc_by_nc_nd, cc_no, ...). LICENSE is a category field, not an identifier -- flagged only because the scan's regex matches 'license'. Many preprints genuinely don't declare a license."
open_data__intl_es_datosgob,OPEN_DATA,OPEN_DATA__INTL_ES_DATOSGOB,LICENSE,HEURISTIC_FALSE_POSITIVE,89.90,1000,yes,"COUNT(*)=1000; '' x899 (89.9%), rest are real Creative-Commons / EU license URIs. Same shape as biorxiv -- a category field mislabeled as an ID by the scan heuristic, not a real key candidate."
environment__xc_owid_fossil_share,ENVIRONMENT,ENVIRONMENT__XC_OWID_FOSSIL_SHARE,CODE,HEURISTIC_FALSE_POSITIVE,19.44,6379,no,"From fill_tables.csv, confirmed by pattern check on the sibling OWID_CO2 table (see next row): CODE mixes real ISO-3 country codes with real OWID aggregate-region codes (OWID_WRL, OWID_EUR, etc.); blank only for a minority of entity rows OWID never assigned a code to. Real partial gap in entity resolvability, not a masking bug -- filter blank CODE before joining, don't assume it's broken."
environment__xc_owid_co2,ENVIRONMENT,ENVIRONMENT__XC_OWID_CO2,CODE,HEURISTIC_FALSE_POSITIVE,11.27,29384,yes,"COUNT(*) top values: '' x3,311 (11.3%), then real ISO-3 codes (TWN, AUS, NOR, GBR, ...) and real OWID aggregate-region codes (OWID_ASI, OWID_OCE, OWID_HIC, OWID_EUR, OWID_WRL) each x275. Confirms the whole 9-table OWID family below: CODE is a legitimate mixed country+region vocabulary, not a masked identifier. Blank rows are entities (historical/regional) OWID never assigned a code to."
justice__xc_owid_homicide,JUSTICE,JUSTICE__XC_OWID_HOMICIDE,CODE,HEURISTIC_FALSE_POSITIVE,10.44,4912,no,"From fill_tables.csv; same OWID CODE family pattern confirmed via OWID_CO2 above, not re-queried live."
justice__xc_owid_terrorism_deaths,JUSTICE,JUSTICE__XC_OWID_TERRORISM_DEATHS,CODE,HEURISTIC_FALSE_POSITIVE,8.70,10481,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
politics__intl_owid_milspend,POLITICS,POLITICS__INTL_OWID_MILSPEND,CODE,HEURISTIC_FALSE_POSITIVE,7.07,9112,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
health__xc_owid_life_expectancy,HEALTH,HEALTH__XC_OWID_LIFE_EXPECTANCY,CODE,HEURISTIC_FALSE_POSITIVE,6.25,21565,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
economics__xc_owid_gini,ECONOMICS,ECONOMICS__XC_OWID_GINI,CODE,HEURISTIC_FALSE_POSITIVE,4.56,2389,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
immigration__xc_owid_refugees,IMMIGRATION,IMMIGRATION__XC_OWID_REFUGEES,CODE,HEURISTIC_FALSE_POSITIVE,3.13,7442,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
reference__xc_owid_fertility,REFERENCE,REFERENCE__XC_OWID_FERTILITY,CODE,HEURISTIC_FALSE_POSITIVE,1.99,19402,no,"From fill_tables.csv; same OWID CODE family pattern, not re-queried live."
government_records__fed_nara_aad,GOVERNMENT_RECORDS,GOVERNMENT_RECORDS__FED_NARA_AAD,DATASET_ID,NOT_A_TRAP,11.11,9,no,"From fill_tables.csv: 1 blank of 9 rows, distinct=9 -- the column is otherwise a fine unique key. This 9-row table is already flagged elsewhere (scripts/housekeeping_cleanup.py) as a degenerate stub queued for drop; not a new finding."
open_data__intl_ge_datagov,OPEN_DATA,OPEN_DATA__INTL_GE_DATAGOV,OGP_COMMITMENT_ID,NOT_A_TRAP,0.0,1,yes,"COUNT(*)=1; the single value is a real commitment ID ('GE0019'), not a sentinel. Flagged as 'degenerate' by the census only because the table has exactly one row -- not a masking trap. No action needed."
science__xc_owid_ai_incidents_annual,SCIENCE,SCIENCE__XC_OWID_AI_INCIDENTS_ANNUAL,CODE,NOT_A_TRAP,0.0,14,yes,"COUNT(*)=14; every row's CODE is the real OWID 'World' aggregate code 'OWID_WRL'. The table is genuinely a single-entity (world) annual time series -- constant by design, not masked. No action needed."
