id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
112,Universities and small research companies with big federal grants,Do the ones with more retracted (fake or flawed) studies keep getting funded?,Would question the return on public research money,not started,,LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_RETRACTION_WATCH,"2,413,705",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
113,Drugs and devices under mass lawsuit,Are companies still paying doctors to promote them?,Would show payments continuing despite known harm claims,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_JPML_PENDING_MDLS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,385,209",after MDL date,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
114,Workplaces with rising injury rates,Are they going uninspected for years at a time?,Would show safety regulators missing obvious warning signs,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"9,214,469",three years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
115,Mining companies with big unpaid safety fines,Do accidents happen at their mines afterward?,Would connect ignoring fines to real harm,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_ACCIDENTS,"3,360,888",before/after,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
116,Employers who sponsor immigrant work visas,Do they pay the legal minimum wage and also rack up serious safety violations?,Would show a workforce being underpaid and put at risk,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_DOL_OFLC | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,"6,029,356",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
117,Nursing homes that got pandemic relief loans,Did the same ones get hit with health and safety fines?,Would show relief money not preventing bad care,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_PPP | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"999,129",2020-21 vs fines,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
119,Companies running immigration detention centers,"How much do they get paid per day, per detained person?",Basic transparency on a government spending question,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"95,726,889",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
12,Long-term care hospitals,Do hospitals with financial trouble also have padded ventilator equipment billing?,Would show equipment fraud on the sickest patients,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_LTCH | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"17,689,980",2023,"Medium — partial run, needs finishing","Partially checked, small group so far",
120,Counties with lots of ICE detainer requests,Do they also have high jail populations generally?,Tests whether immigration enforcement tracks with broader incarceration,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS,"738,276",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
121,People named in the Panama Papers-style offshore leaks,Are any of them U.S. doctors or political donors?,Would connect offshore secrecy to domestic money and medicine,not started,,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"100,328,474",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
122,People who control companies registered in the U.K.,Are any of them under U.S. or international sanctions?,Would show sanctioned people still running real companies,not started,,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_OPENSANCTIONS_DEFAULT | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN,"17,105,571",notified/ceased dates,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
123,U.S. banks and polluters with unclear corporate parents,Who's the real parent company hiding behind them?,Would unmask ownership nobody discloses,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX | LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"15,001,221",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
125,Political nonprofits that lost their tax status,Are they still operating and filing paperwork as if nothing happened?,Would show a compliance gap,not started,,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8871_ORGS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS | LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8872_REPORTS,"1,340,465",after revocation,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
127,Bank branches in historically redlined neighborhoods,Are banks pulling branches out of those neighborhoods over time?,Would show ongoing banking abandonment of Black and Latino areas,not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,"2,824,132",survey years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
129,Car makes and models,Do complaints pile up for years before an official recall happens?,Would show manufacturers slow-walking known safety issues,not started,,LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS | LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS,"2,469,802",lag years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
130,Subsidized apartment buildings,Are their affordability contracts expiring in fast-gentrifying areas?,Would show low-income housing about to disappear where it's needed most,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FHFA_HPI,"209,116",2026-28,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
131,Mortgage lenders using a government-backed loan program,Do they charge higher rates in historically redlined neighborhoods?,Would extend the redlining story into today's lending,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,"45,055,469",one month,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
132,Neighborhoods hit by disasters,Do bankruptcy filings spike in the year after?,Would show disasters pushing families into financial collapse,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_BANKRUPTCY | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"33,216,361",12 months after,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
133,Nursing home chains,Do the most-sued chains also get the most fines?,Tests if lawsuits and regulatory fines target the same bad actors,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"10,888,289",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
134,People convicted of health care fraud,Are they still allowed to work in health care because they were never formally banned?,Would show a gap between conviction and consequence,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,"6,383,655",judgment to exclusion,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
135,Hospitals hit by ransomware attacks,Does patient care quality drop afterward?,Would show cyberattacks having real medical consequences,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_RANSOMWARELIVE_VICTIMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"50,806",attack date on,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
136,Government tech vendors,Do the ones with the most known security flaws still win contracts?,Would show government still paying risky vendors,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_CISA_KEV | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,155,098",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
137,Ships owned by sanctioned entities,Are any of them showing up at U.S. ports anyway?,Would be a sanctions violation happening in plain sight,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.FED_NOAA_AIS,"58,125,631",after designation,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
138,Police departments,Do the ones involved in the most killings still get the most federal grant money?,Would question how federal funding is allocated,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"19,918,355",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
139,Gun dealers,Are more dealers in an area linked to more gun deaths?,Tests a long-running gun policy question,part done,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_ATF_FFL | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FBI_NICS_CHECKS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"225,959",state level,"Medium — partial run, needs finishing","Partially checked, real signal found",
140,Owners of the most polluting power plants,Which investment funds and political donors are behind them?,Would trace pollution back to who actually profits,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA860_4_OWNER | LIBRARY_RAW.LANDING.FED_SEC_13F_POSITIONS | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY,"3,886,063",2022,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
141,Power utility companies,Do the ones with the worst storm outages also charge the highest rates?,Would show customers paying more for worse service,not started,,LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_RELIABILITY | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SERVICE_TERRITORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SALES_ULT_CUST,"1,796,291",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
142,Industrial facilities,Do some have pollution spikes that never trigger a violation?,Would show gaps in pollution enforcement,not started,,LIBRARY_RAW.LANDING.FED_EPA_CAMPD_EMISSIONS_DAILY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES,"16,637,002",daily,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
18,Surgeons who get paid royalties on medical devices,Do they order more of that device at the hospital they work for?,Would show doctors profiting from their own device choices,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,"15,501,229",2024 one year,"Medium — partial run, needs finishing","Partially checked, real dollars found ($847M)",
21,Hospital workers vs. everyone else nearby,Do hospital employees get paid less than the local average wage?,Would show hospitals underpaying staff while cutting corners,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"3,625,540",2022 vs 2023,"Medium — partial run, needs finishing","Partially checked, real signal",
24,Doctors in a brand-new Medicare payment program,"Nothing to compare yet, program just started",Sets a baseline to check for fraud once the program is running,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,"6,637",2027 start,"Medium — partial run, needs finishing",nothing to find yet,
26,"Counties hit by big storms, and government-subsidized housing",Does housing sit empty after a big storm instead of getting rebuilt?,Would show disaster recovery money not reaching people,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"1,794,280","1996-2025, one MFH snapshot","Medium — partial run, needs finishing","Setup works, needs a real run",
28,Nursing homes and how sick they say their patients are,Do homes exaggerate patient sickness to get paid more?,Would be a well-known Medicare fraud pattern,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,"31,836,407",one quarter,"Medium — partial run, needs finishing","Partially checked, one time period only so far",
29,Hospitals near heavy pollution,Do hospitals near the most toxic sites fail financially more often?,Would show pollution driving hospital closures,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"115,522",2015-2024,"Medium — partial run, needs finishing","Partially checked, one number looks suspicious and needs a second look",
6,Dialysis clinic chains in rural areas,Do dialysis chains that dominate a rural area have worse patient outcomes?,Would show monopoly power hurting sick people,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_DIALYSIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"30,613,170",one vintage,"Medium — partial run, needs finishing","Partially checked, needs a full run",
76,Executives at public nursing home and hospital companies,Do they sell their company stock right before bad news like a fine hits?,"Classic insider-trading-style question, applied to health care",not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"2,697,968","2025Q1+, check quarters",Medium — first probe query needed,"no query run yet, treat any first number as unverified",
77,Federal judges,Do they own stock in companies whose cases they're deciding?,Would be a serious conflict of interest,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"12,810,285",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/77_judges_stock_vs_parties
78,U.S. Senators,Do they trade stock in industries their own committee oversees?,The core 'Congress insider trading' question,not started,senate trades stop 2020-12; committee roster is current-only,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP | LIBRARY_RAW.LANDING.FED_VOTEVIEW_ROLLCALLS,"957,752",30-day windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/78_senators_trade_their_committee
79,Banks that failed,Did they quietly switch auditors right before collapsing?,Would show a warning sign nobody flagged in time,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS,"2,981,945",2017+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
8,Counties with rising jail populations,"When a county's jail population spikes, does drug overdose rise later?",Would link mass incarceration to community health decline,part done,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY,"347,425",2010-2024,"Medium — partial run, needs finishing","Partially checked, real pattern not confirmed yet",
80,Companies whose own auditors doubt they can survive,Do they still keep winning government contracts?,Would show the government not checking a known red flag,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,565,062",after FY end,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
81,Company pension plans that collapse onto the government,Did executives sell their own stock right before the collapse?,Would show executives cashing out while workers' pensions failed,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS | LIBRARY_RAW.LANDING.FED_DOL_FORM5500_FULL | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1 | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,"6,983,857",termination year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
82,Local labor unions,Do unions reporting missing money also have an active political fund?,Would be a red flag on where union dues go,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_DOL_OLMS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"677,741",same fiscal year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/82_union_shortage_pac
83,Health care industry lobbyists,Does lobbying spending spike right before a new safety rule is finalized?,Would show industry trying to weaken rules before they lock in,not started,LDA missing 2011-2019; Federal Register only 2023-26,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS | LIBRARY_MARTS.REGULATORY.REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,"914,380",comment windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/83_lobby_surge_cms_rules
84,Members of Congress who oversee Medicare,Who's spending money for or against them in elections?,Would show who wants influence over Medicare oversight,not started,FEC IE mart totals 20x high; committee roster is current-only,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"308,215",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/84_ie_at_cms_overseers
85,Drug and device company political money,Does it flow from their corporate PAC into top leaders' campaign funds?,Would trace industry money's path to power,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC,"15,453,697",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/85_maker_pacs_to_leadership_pacs
