id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
11,"Hospitals losing money, and their doctors",Do money-losing hospitals still have doctors taking big drug company payments?,Would look hypocritical — cutting care while doctors profit,part done,HCRIS one vintage,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,"16,967,082",2023,"Medium — partial run, needs finishing","Partially checked, real data found",
12,Long-term care hospitals,Do hospitals with financial trouble also have padded ventilator equipment billing?,Would show equipment fraud on the sickest patients,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_LTCH | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"17,689,980",2023,"Medium — partial run, needs finishing","Partially checked, small group so far",
13,Nursing homes with fire safety violations,Do owners re-register the business right after getting fire-safety fines?,Would show dodging accountability by changing names,same as another,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,"214,455",2016-2026,"Medium — partial run, needs finishing",see #30,
14,Rural health clinics,Are clinics claiming to be 'rural' actually sitting in cities?,Would show fraud on a rural subsidy program,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,"5,530",snapshot,Skip — already ruled out,"Dead end as asked, simpler version might work",
15,Companies banned from federal contracts,Are banned companies still getting paid on disaster relief contracts?,Would be straightforward government fraud,found something,,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,321,752",untimed,Quick — re-run and check the number,"26 banned companies, $169 million in contracts",reports/tier1_deep_dive_2026-09-05/15_banned_disaster_contractors
16,Diabetes prevention program providers,Are any of them on the federal fraud exclusion list?,Would catch fraud in a diabetes program,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,"84,784",snapshot,"Medium — partial run, needs finishing",none found,
17,Banks and the pollution sites they finance,Same as #3 but through a different bank record,Would show hidden bank-to-polluter money,missing a piece,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"5,327,985",n/a,Skip — already ruled out,that bank ID field is empty everywhere,
18,Surgeons who get paid royalties on medical devices,Do they order more of that device at the hospital they work for?,Would show doctors profiting from their own device choices,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,"15,501,229",2024 one year,"Medium — partial run, needs finishing","Partially checked, real dollars found ($847M)",
19,Doctors who get quality bonuses from Medicare,Do the ones taking industry payments still get top bonuses?,Would question whether the bonus system actually rewards good care,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"1,920,800",2024,"Medium — partial run, needs finishing","Checked, no clear pattern",
20,Nursing homes and dialysis clinics,"Are the same people running both, and is that a conflict?",Would show a hidden ownership overlap,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,"2,260,193",snapshot,"Medium — partial run, needs finishing","Small group found, no clear story yet",
21,Hospital workers vs. everyone else nearby,Do hospital employees get paid less than the local average wage?,Would show hospitals underpaying staff while cutting corners,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"3,625,540",2022 vs 2023,"Medium — partial run, needs finishing","Partially checked, real signal",
22,Neighborhoods once graded 'hazardous' for housing loans in the 1930s,Do those same neighborhoods have more toxic factories today?,Would prove 90-year-old racist housing policy still poisons people today,found something,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023 | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"276,792",current,Quick — re-run and check the number,worst-graded areas have 18x more toxic sites than the best,reports/tier1_deep_dive_2026-09-05/22_redlined_toxic_sites
23,Medical equipment suppliers banned from Medicare,How much money did banned suppliers still collect?,"Straightforward fraud, easy to state in dollars",found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,"524,417",ingested 2026-07,Quick — re-run and check the number,"$1.4 billion, one company alone took $860 million",reports/tier1_deep_dive_2026-09-05/23_banned_dme_suppliers
24,Doctors in a brand-new Medicare payment program,"Nothing to compare yet, program just started",Sets a baseline to check for fraud once the program is running,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,"6,637",2027 start,"Medium — partial run, needs finishing",nothing to find yet,
25,Community health centers,Are centers whose local site shut down still collecting Medicare money as if open?,Would show phantom clinics still billing,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS,"221,023",since 2020,"Medium — partial run, needs finishing","Small number found, worth another look",
26,"Counties hit by big storms, and government-subsidized housing",Does housing sit empty after a big storm instead of getting rebuilt?,Would show disaster recovery money not reaching people,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"1,794,280","1996-2025, one MFH snapshot","Medium — partial run, needs finishing","Setup works, needs a real run",
27,People applying to become Medicare providers,Are any of them already banned for past fraud?,Would catch fraud before it even starts,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,"2,358,060",2026-07 snapshot,Quick — re-run and check the number,"9 found, small but real",reports/tier1_deep_dive_2026-09-05/27_pending_applicants_banned
28,Nursing homes and how sick they say their patients are,Do homes exaggerate patient sickness to get paid more?,Would be a well-known Medicare fraud pattern,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,"31,836,407",one quarter,"Medium — partial run, needs finishing","Partially checked, one time period only so far",
29,Hospitals near heavy pollution,Do hospitals near the most toxic sites fail financially more often?,Would show pollution driving hospital closures,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"115,522",2015-2024,"Medium — partial run, needs finishing","Partially checked, one number looks suspicious and needs a second look",
30,Nursing home owners,"Do new owners appear right after a home gets penalized, like a shell game?",Would show owners dodging penalties by 'selling' to themselves,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"30,605",penalties 2023-06 on,Quick — re-run and check the number,39 homes did exactly this,reports/tier1_deep_dive_2026-09-05/30_penalty_then_new_owner
31,Hospitals that also own home health agencies,Do hospital-owned home health agencies perform worse but cost more?,Would show hospitals steering patients to their own worse service,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH,"33,075",snapshot,Quick — re-run and check the number,mixed result,reports/tier1_deep_dive_2026-09-05/31_hospital_owned_hha
76,Executives at public nursing home and hospital companies,Do they sell their company stock right before bad news like a fine hits?,"Classic insider-trading-style question, applied to health care",not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"2,697,968","2025Q1+, check quarters",Medium — first probe query needed,"no query run yet, treat any first number as unverified",
77,Federal judges,Do they own stock in companies whose cases they're deciding?,Would be a serious conflict of interest,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"12,810,285",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/77_judges_stock_vs_parties
78,U.S. Senators,Do they trade stock in industries their own committee oversees?,The core 'Congress insider trading' question,not started,senate trades stop 2020-12; committee roster is current-only,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP | LIBRARY_RAW.LANDING.FED_VOTEVIEW_ROLLCALLS,"957,752",30-day windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/78_senators_trade_their_committee
79,Banks that failed,Did they quietly switch auditors right before collapsing?,Would show a warning sign nobody flagged in time,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS,"2,981,945",2017+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
80,Companies whose own auditors doubt they can survive,Do they still keep winning government contracts?,Would show the government not checking a known red flag,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,565,062",after FY end,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
81,Company pension plans that collapse onto the government,Did executives sell their own stock right before the collapse?,Would show executives cashing out while workers' pensions failed,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS | LIBRARY_RAW.LANDING.FED_DOL_FORM5500_FULL | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1 | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,"6,983,857",termination year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
82,Local labor unions,Do unions reporting missing money also have an active political fund?,Would be a red flag on where union dues go,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_DOL_OLMS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"677,741",same fiscal year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/82_union_shortage_pac
83,Health care industry lobbyists,Does lobbying spending spike right before a new safety rule is finalized?,Would show industry trying to weaken rules before they lock in,not started,LDA missing 2011-2019; Federal Register only 2023-26,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS | LIBRARY_MARTS.REGULATORY.REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,"914,380",comment windows,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/83_lobby_surge_cms_rules
84,Members of Congress who oversee Medicare,Who's spending money for or against them in elections?,Would show who wants influence over Medicare oversight,not started,FEC IE mart totals 20x high; committee roster is current-only,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"308,215",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/84_ie_at_cms_overseers
85,Drug and device company political money,Does it flow from their corporate PAC into top leaders' campaign funds?,Would trace industry money's path to power,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC,"15,453,697",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/85_maker_pacs_to_leadership_pacs
86,Political advertisers on Google,Are big-spending political advertisers avoiding official campaign finance reporting?,Would show a loophole in campaign finance transparency,not started,,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"374,229",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/86_google_ads_no_fec
87,Registered foreign lobbyists,Do they also personally donate to U.S. political campaigns?,Foreign influence question,not started,FEC indiv is 2023-26 only,LIBRARY_RAW.LANDING.FED_FARA_BULK | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,394,012",registration window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/87_fara_agents_donating
88,People who run political nonprofits,Are the same people also treasurers of federal campaign committees?,Would show one person managing both a public and 'dark money' operation,not started,527 Schedule A/B not landed,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_DIRECTORS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"249,624",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/88_shared_treasurers
89,State-level lobbyists,Do the same people wine and dine state lawmakers and donate federally?,Would show a two-level influence operation,not started,FEC indiv is 2023-26 only,LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER | LIBRARY_MARTS.POLITICS.POLITICS__CA_LOBBY_COVER | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,980,743",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/89_state_gifts_federal_checks
90,"Government officials who leave for the private sector, or vice versa",Do agency contracts shift toward an official's old industry after they arrive?,"The 'revolving door' question, with real contract dollars",not started,revolving-door has no names,LIBRARY_MARTS.GOVERNANCE.GOVERNANCE__FED_REVOLVINGDOOR_PROJECT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,153,830",no dates landed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/90_appointee_sector_awards
91,Members of Congress,"Do they buy a stock, then introduce a bill that helps it?",A more specific insider-trading pattern,not started,senate trades stop 2020-12; house trade lines are PDFs; bills only 118th-119th,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_RAW.LANDING.FED_GOVINFO_BILLSTATUS | LIBRARY_RAW.LANDING.FED_GOVINFO_BILL_COSPONSORS,"412,557",90-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/91_trade_then_bill
92,Congressional offices,Does office spending go to vendors who are also campaign donors?,Would show taxpayer money looping back to donors,not started,FEC indiv is 2023-26 only,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"89,086,588",by quarter,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/92_office_money_to_donors
93,Counties running elections,Do places with more rejected mail ballots overlap with high-incarceration areas?,Would connect two forms of disenfranchisement,not started,,LIBRARY_MARTS.POLITICS.POLITICS__FED_EAC_EAVS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"164,603",survey cycles,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/93_rejected_ballots_jail
94,Federal judges,Does a judge's political leaning or donations predict how they rule?,A long-debated fairness-of-the-courts question,not started,FEC indiv is 2023-26 only,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"95,037,994",by judge,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/94_judge_politics_vs_dockets
95,Federal judges,Do gifts or debts they report ever involve parties in their own courtroom?,Would be a direct conflict of interest,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,"54,272",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/95_judge_gifts_vs_parties
96,Communities that opted out of flood insurance,Do they still get disaster payouts for flood damage?,Would show a gap in the insurance system,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"26,276,045",per disaster,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
97,Neighborhoods hit by disaster three or more times,Are they being rebuilt each time instead of relocated?,Would question the wisdom of repeatedly rebuilding in harm's way,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"26,300,071",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
98,Nursing homes located near unsafe dams,Are any sitting downstream of a dam rated poor with no emergency plan?,Would be a public safety hazard nobody's tracking,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME,"107,466",last inspection,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
99,Mining companies,Do the ones with unsafe dams also have a pile of unpaid safety fines?,Would show a company ignoring safety on two fronts,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_MINES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS,"3,271,937",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
100,Companies that win disaster relief contracts,Did they spring up right after the disaster was declared?,Would show opportunists forming shell companies to grab relief money,not started,,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"119,404,344",60-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
101,Counties hit hard by flooding,Are they still using outdated flood maps?,Would show regulators failing to update risk after real damage,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,"1,805,855",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
102,"Counties with lots of oil, gas, and fracking activity",Do they also have the worst drinking water problems?,Would show industrial activity stacking up to hurt water quality,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"22,752,998",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
