rank,title,question,side_a,side_b,side_c,joins_on,key_strength,a_hit_means,a_miss_means,visual,story
13,"Banned, and still on the payroll",Are drug companies still paying doctors who are banned from Medicare or who opted out?,"HEALTH__FED_HHS_OIG_LEIE - banned, why, when, reinstated or not","HEALTH__FED_CMS_OPEN_PAYMENTS - payments by company, by date",HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS - the doctors who walked away from Medicare,NPI,"steel, 100%, 364 edges; this one is fully proven","Payments land after the exclusion date, dated and named",Payments all predate the ban and the system worked,"timeline per doctor, ban date as a vertical line, payment dots either side","An enforcement list and a transparency database, same key, opposite purposes"
14,The drug price spike and the prescriber's bill,"When a generic drug's benchmark price jumps, whose prescribing cost jumps with it?","HEALTH__FED_CMS_NADAC - benchmark price per unit, by effective date",HEALTH__FED_CMS_PARTD_PRESCRIBERS - claims and cost per doctor per drug,HEALTH__FED_CMS_OPEN_PAYMENTS - who was being paid over the same window,"drug name and code, then NPI",drug code is a lookup; NPI is steel,"A price spike, then a cost spike, then a payment, in that order, for one drug",Prescribing follows price with no money attached and it is just a market,"three stacked lines on one date axis, price, cost, payments","Medicaid pricing, Medicare claims and industry payments on one drug"
15,"Fracked here, undrinkable there",Do counties with the most fracking jobs have the most drinking-water violations after?,"ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST - well, operator, location, water used, dates","ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT - violations, contaminant, health-based",ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS - population served,FIPS then PWSID,both proven families; the county-to-system hop is the join to prove,"Violations rise in the years after jobs start, in the same counties, not before","Timing does not line up and the correlation is geology, not drilling","small multiples, one county per panel, jobs as bars, violations as a line",An industry disclosure site and an EPA compliance file on one county
16,The union with a hole in its books,Do unions reporting missing money also run an active political fund?,"LABOR__FED_DOL_OLMS - union assets, receipts, disbursements, membership, since 2000",FINANCE__FED_FEC_INDIV_CONTRIBUTIONS - contributions tied to a committee,POLITICS__FEC_COMMITTEE - the committee roster and its treasurer,union name to committee name,"name match, not a catalog key",A union whose books do not balance runs a committee that keeps spending,Financial trouble and political spending are unrelated and the red flag is not one,"two-panel per union, balance sheet on the left, political spend on the right","A labour filing and a campaign filing, never joined"
17,"Sponsored a visa, hurt the worker",Do the employers who sponsor the most foreign workers at the legal minimum also rack up injuries?,"IMMIGRATION__FED_DOL_OFLC - sponsor, job title, wage offered, worksite","LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 - injuries, illnesses, deaths per establishment",ECONOMICS__FED_BLS_QCEW - what that industry pays in that county,NAME@ZIP then EIN,fuzzy on the employer name; EIN if the injury file resolves,The same employer pays the floor wage and sits in the worst tenth on injuries,Sponsors are mostly office jobs with no injury exposure and the pairing is empty,"scatter, wage against industry median, dot size is injury rate",Two Labor Department systems that do not talk to each other
18,"Relief money, then the injuries",Did the businesses that took the most pandemic relief go on to injure more workers?,"ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS - borrower, amount, jobs claimed, forgiveness",LABOR__FED_OSHA_ITA_300A_SUMMARY_2023 - injuries the year after,ECONOMICS__FED_SBA_LOANS - whether their other SBA loans defaulted,NAME@ZIP,"fuzzy, multi-word names only; show as a sample","Big forgiven loans, few jobs kept, and a rising injury count at the same address",Relief tracked payroll honestly and the injury rate is flat,"three-column ranking, loan, jobs claimed, injuries, one row per borrower","An emergency programme and a safety file, same year, never compared"
19,"The senator, the committee, the trade","Did a senator trade a stock in a sector their own committee oversees, in the same session?","FINANCE__SENATE_TRADES - senator, asset, buy or sell, date, range, Bioguide matched","POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP - which committee, which rank, when",FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE - ticker to company to industry code,"BIOGUIDE, then ticker to industry",Bioguide proven; the ticker-to-sector lookup does not exist yet,A dated trade in a sector the member's committee was actively working,Trades are index funds and blind trusts and the overlap is noise,"timeline per senator, committee tenure as a band, trades as dots inside it","Two disclosure regimes, one person, and a lookup table we still have to build"
20,"Funded, published, retracted",Do the institutions winning the most federal research money also retract the most papers?,"SCIENCE_RESEARCH__FED_NIH_REPORTER - grant, institution, researcher, dollars, 27 years","SCIENCE_RESEARCH__FED_RETRACTION_WATCH - journal, authors, institution, reason","REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS - the org registry, to resolve names",institution name via the ROR registry,name match through a registry; not a catalog key,Retractions per funded dollar varies wildly and some big names sit at the top,Retractions scale with volume exactly and there is no story past size,"scatter, funding on one axis, retractions on the other, size is papers","An NIH database and a watchdog list, joined through a third registry"
21,"Toxic air, subsidised housing",Is subsidised housing sitting closer to the biggest toxic releasers than market housing?,"ENVIRONMENT__FED_EPA_TRI_BASIC_2023 - pounds released, by chemical, by route","ENVIRONMENT__FED_EPA_TRI_FACILITY - the facility, its parent, its coordinates","HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS - buildings, units, tenant demographics","FIPS, then coordinates for distance",FIPS proven; the distance ring has to be built,"Subsidised buildings sit inside a tighter radius, with tenant demographics attached",Distance is the same as everywhere else and the siting claim does not hold,"map with release plumes as rings, housing dots inside, tenant mix on hover","EPA pounds and HUD tenants, one distance, never measured together"
22,"Redlined, then the bank left",Did banks pull branches out of the neighbourhoods graded hazardous in the 1930s?,"HOUSING__FED_MAPPING_INEQUALITY - 1930s grade, the written description, the shape","FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS - every branch, address, deposits, by year",REFERENCE__CENSUS_CB_ZCTA - the zip shapes to place the branch,"spatial, then ZIP",not a catalog key; a shape-in-shape join to build,"Branch counts in D-graded areas fall faster than in A-graded ones, decade by decade",Branch loss is uniform and the 1930s grade adds nothing today,"animated map per city, grades underneath, branches appearing and vanishing",A 90-year-old map and an annual bank survey on the same ground
23,"Storm hit, water broke","After a big storm, does the local drinking water start failing?","ENVIRONMENT__FED_NOAA_STORM_EVENTS - event, location, date, damage, deaths","ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT - violation, contaminant, date",ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS - population served,FIPS then PWSID,proven both sides; the county-to-system hop is the work,"Violation counts jump in the ninety days after a named storm, repeatedly","No lift after storms, which says the systems held","event-study chart, day zero is the storm, violation rate before and after","The weather service and the water regulator, one county, one clock"
24,Detention where the jail is already full,Are immigration detention facilities sited in counties that already jail the most people?,"IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES - facility, address, coordinates, type","JUSTICE__XC_VERA_INCARCERATION_TRENDS - jail population by county, by race, by year","DIM_COUNTY - population, to make it a rate",FIPS,"county family, proven",Detention clusters in the counties with the highest existing jail rates,Siting is about land and highways and tracks nothing about local incarceration,"map, counties shaded by jail rate, detention facilities as dots on top",An immigration lookup table and a prison research dataset on one county code
25,The owner behind three kinds of care,"Does the same owner run nursing homes, home health and hospice, and do the fines follow them?","HEALTH__FED_CMS_HOME_HEALTH_OWNERS - owner name, address, percent, entity type",HEALTH__FED_CMS_NURSING_HOME_PENALTIES - fines and payment-denial periods,"HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES - citations, severity, corrected or not","CCN, and owner name across the ownership file",CCN steel; the owner-name resolve across types is the work,One owner name appears across three care types with fines on all of them,Owners stay in one lane and the multi-type operator is rare,"graph, owner at the centre, facility types as branches, fines sized on the leaves","An ownership file, a penalty file and a citation file, one person at the middle"
