id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
11,part done,Do money-losing hospitals still have doctors taking big drug company payments?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,3,,HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [472757],N,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.RECIPIENT_ZIP_CODE
12,part done,Do hospitals with financial trouble also have padded ventilator equipment billing?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_LTCH | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,4,,HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [500450],N,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_CMS_LTCH.CCN | HEALTH__FED_CMS_LTCH.PROVIDER_NAME | HEALTH__FED_CMS_LTCH.TELEPHONE_NUMBER | HEALTH__FED_CMS_LTCH.ZIP_CODE | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
13,same as another,Do owners re-register the business right after getting fire-safety fines?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,2,,,Y,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.ZIP_CODE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NURSING_HOME_PROVIDER_NAME | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ZIP_CODE
14,nothing there,Are clinics claiming to be 'rural' actually sitting in cities?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,1,,,single,HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.CCN | HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.DOING_BUSINESS_AS_NAME | HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.NPI | HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.TELEPHONE_NUMBER | HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.ZIP_CODE
15,found something,Are banned companies still getting paid on disaster relief contracts?,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
16,nothing there,Are any of them on the federal fraud exclusion list?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,2,,,Y,HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM.LOCATION_NAME | HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM.NPI | HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM.TELEPHONE_NUMBER | HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM.ZIP_CODE | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP
17,missing a piece,Same as #3 but through a different bank record,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,2,,,Y,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.EPA_REGISTRY_ID | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_CIK | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_UEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.ULTIMATE_PARENT_LEI | FINANCE__FED_FDIC_BANK_DATA.CERT | FINANCE__FED_FDIC_BANK_DATA.DOCKET | FINANCE__FED_FDIC_BANK_DATA.FIPS | FINANCE__FED_FDIC_BANK_DATA.NAME | FINANCE__FED_FDIC_BANK_DATA.ZIP
18,part done,Do they order more of that device at the hospital they work for?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,2,,,Y,HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE.RNDRNG_PRVDR_CCN | HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE.RNDRNG_PRVDR_ORG_NAME | HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE.RNDRNG_PRVDR_STATE_FIPS | HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE.RNDRNG_PRVDR_ZIP5 | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
19,nothing there,Do the ones taking industry payments still get top bonuses?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,2,,,Y,HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_LAST_ORG_NAME | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_ZIP5 | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI
20,found a little,"Are the same people running both, and is that a conflict?",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,1,,,single,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI
21,part done,Do hospital employees get paid less than the local average wage?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,2,,,Y,ECONOMICS__FED_BLS_QCEW.AREA_FIPS | ECONOMICS__FED_BLS_QCEW.STATE_FIPS | HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE
22,found something,Do those same neighborhoods have more toxic factories today?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023 | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,4,,,Y,ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_3_FRS_ID | ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_4_FACILITY_NAME | ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_9_ZIP | ENVIRONMENT__FED_EPA_TRI_FACILITY.EPA_REGISTRY_ID | ENVIRONMENT__FED_EPA_TRI_FACILITY.FACILITY_NAME | ENVIRONMENT__FED_EPA_TRI_FACILITY.PARENT_CO_DB_NUM | ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE | ENVIRONMENT__FED_EPA_TRI_FACILITY.ZIP_CODE | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME | HOUSING__FED_MAPPING_INEQUALITY.GEOMETRY
23,found something,How much money did banned suppliers still collect?,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,2,,,Y,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL.SUPLR_NPI | HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL.SUPLR_PRVDR_LAST_NAME_ORG | HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL.SUPLR_PRVDR_ZIP5 | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP
24,not started,"Nothing to compare yet, program just started",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,1,,,single,HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS.NPI
25,found a little,Are centers whose local site shut down still collecting Medicare money as if open?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS,3,,,Y,HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.CCN | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.DOING_BUSINESS_AS_NAME | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.NPI | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.TELEPHONE_NUMBER | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD | HEALTH__FED_HRSA_SHORTAGE_AREAS.BHCMIS_ORGANIZATION_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_POSTAL_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_STATE_COUNTY_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_STATE_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.DISCIPLINE_CLASS_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_COMPONENT_NAME | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_COMPONENT_SOURCE_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_GEOGRAPHY_IDENTIFICATION_NUMBER | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_ID | HEALTH__FED_HRSA_SHORTAGE_AREAS.PRIMARY_STATE_FIPS_CODE | HEALTH__FED_HRSA_SHORTAGE_AREAS.STATE_FIPS_CODE
