rank,bucket,id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,notes
14,Reader looks up their own,v2-391,OTHER,run,"One county, every table","For one FIPS: jobs, overdoses, jail, facilities, storms, aid, providers, water?",The county card.,DIM_COUNTY|ECONOMICS__FED_BLS_QCEW|HEALTH__FED_CDC_DRUG_POISONING_COUNTY|JUSTICE__XC_VERA_INCARCERATION_TRENDS|ENVIRONMENT__FED_EPA_FRS_FACILITIES|ENVIRONMENT__FED_NOAA_STORM_EVENTS|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS|HEALTH__FED_HRSA_SHORTAGE_AREAS,FIPS,other,not started,"FIPS: 15 tables, 78 edges. Catalog item 61 for population."
15,Reader looks up their own,v2-063,HEALTH,run,"One doctor, every table","For one NPI: registry, pharma money, prescribing, billing, bans, hospital ties?",A lookup page that shows the warehouse's reach.,HEALTH__FED_CMS_NPPES|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,NPI,other,not started,"NPI is the steel key: 34 tables, 364 edges."
16,Reader looks up their own,v2-115,POLITICS,run,"One member of Congress, every table","For one member: ideology, votes, bills, committees, money, trades, donors?",A card that proves the warehouse links up.,POLITICS__MEMBER_SPINE|POLITICS__FED_VOTEVIEW_MEMBERS|POLITICS__MEMBER_BILL_RECORD|POLITICS__MEMBER_VOTING_RECORD|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|POLITICS__MEMBER_PAC_MONEY|POLITICS__MEMBER_INDIV_DONATIONS|FINANCE__SENATE_TRADES|POLITICS__MEMBER_FEC_ID,"BIOGUIDE, FEC_CAND_ID",other,not started,
17,Reader looks up their own,v2-212,JUSTICE,run,"One judge, every table","For one judge: bio, courts, votes, ideology, disclosures, gifts, trips, holdings?",The judge card.,JUSTICE__FED_FJC_ARTICLE_III_JUDGES|JUSTICE__FED_COURTLISTENER_JUDGES|JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS|JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS|JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES|JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_INVESTMENTS|POLITICS__JUDGE_IDEOLOGY_COA,CL_PERSON_ID,other,not started,"CL_PERSON_ID: 8 tables, 28 edges."
18,Reader looks up their own,v2-159,ENVIRONMENT,run,"One facility, every EPA system","For one FRS ID: programs, inspections, violations, penalties, releases, gases, parent?",The facility page.,ENVIRONMENT__FED_EPA_FRS_FACILITIES|ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS|ENVIRONMENT__FED_EPA_TRI_BASIC_2023|ENVIRONMENT__FED_EPA_GHGRP_EMISSION|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK|ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FRS_ID,other,not started,"FRS_ID: 17 tables, 136 edges."
19,Reader looks up their own,v2-181,JUSTICE,crawl,Gun dealers per county,Where are licensed gun dealers densest per resident?,"77K dealers, every address.",JUSTICE__FED_ATF_FFL|DIM_COUNTY,FIPS,map,not started,FFL has coordinates; county via lookup.
20,Reader looks up their own,v2-218,FINANCE,crawl,Bank deserts,"Which counties lost the most bank branches, and where are there none?",Branch counts per county per year.,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS|DIM_COUNTY,FIPS,map,not started,Branch address to county lookup.
21,The shape is the story,v2-004,HEALTH,crawl,Meals priced just under $125,Which drug companies' meal payments bunch right under the reporting line?,Pattern that looks like someone gaming a rule.,HEALTH__PHARMA_MEAL_CAP_FINGERPRINT,single table,other,not started,Already-built table. A histogram with a spike at $124 is the whole chart.
22,The shape is the story,v2-066,POLITICS,crawl,Congress drifting apart,How far apart have the two parties' ideology scores moved since 1789?,"The polarization chart, from the original source.",POLITICS__FED_VOTEVIEW_MEMBERS,single table,timeline,not started,51K member-Congress rows.
23,The shape is the story,v2-165,JUSTICE,crawl,Bankruptcies per county per year,"Where did personal bankruptcy spike, and when?",A map that lights up in 2009.,JUSTICE__FED_FJC_IDB_BANKRUPTCY,single table,map,not started,Chapter mix as a follow-up.
24,The shape is the story,v2-245,ECONOMICS,crawl,The 2008 bank failure wave,"When did banks fail, how big, and what did it cost the insurance fund?",A timeline with a wall in 2009.,ECONOMICS__FED_FDIC_FAILED_BANKS,single table,timeline,not started,
25,The shape is the story,v2-167,JUSTICE,crawl,Which justices vote together,"How often does each pair of justices agree, term by term?",The agreement matrix.,JUSTICE__FED_SCDB,single table,other,not started,
26,The shape is the story,v2-168,JUSTICE,crawl,5-4 decisions per term,How many cases were decided by one vote each term?,A count that tracks the court's temperature.,JUSTICE__FED_SCDB,single table,timeline,not started,
27,The shape is the story,v2-003,HEALTH,crawl,"Overdose death rate by county, year by year",Where did the overdose wave start and where did it spread?,An animated map turns a statistic into a movement.,HEALTH__FED_CDC_DRUG_POISONING_COUNTY,single table,map,not started,"Rates are given as ranges, not points. Plot the midpoint and say so."
28,The shape is the story,v2-093,POLITICS,crawl,Cannabis legalization map by year,When did each state approve medical and recreational cannabis?,An animated map of policy spreading.,POLITICS__ST_CANNABIS_POLICY_BUNDLES,single table,map,not started,Dozens of rule columns for follow-ups.
29,The shape is the story,v2-292,ENERGY,crawl,Wind turbines getting taller,How did hub height and capacity grow by install year?,A physical fact people can picture.,ENERGY__FED_EIA860_3_2_WIND,single table,timeline,not started,
30,The shape is the story,v2-294,ENERGY,crawl,Battery storage boom,"How fast did grid battery capacity grow, and what is it used for?",A hockey stick.,ENERGY__FED_EIA860_3_4_ENERGY_STORAGE,single table,timeline,not started,
31,The shape is the story,v2-128,ENVIRONMENT,crawl,Trade-secret chemicals,"What share of fracking ingredients hide their chemical ID, and is it rising?",Secrecy as a trend line.,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,single table,timeline,not started,7.2M rows.
32,The shape is the story,v2-248,ECONOMICS,crawl,The auto-revocation wave,"How many nonprofits lost status per year, and how many came back?","1.2M revocations, one spike.",ECONOMICS__FED_IRS_AUTO_REVOCATIONS|CORPORATE_ENTITIES__IRS_REVOCATION_BY_STATE_YEAR_AGG,"stack, same shape",timeline,not started,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
33,The shape is the story,v2-255,ECONOMICS,crawl,National debt every day,"How did the debt move day by day, public versus intragovernmental?","One line, every day.",ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,single table,timeline,not started,
34,Already has a number,v1-2,HEALTH,walk,Private equity-owned nursing home chains,"Which nursing home owners get fined the most per home, and does it repeat?",Shows which owners treat fines as a cost of doing business,HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,found something,
35,Already has a number,v1-4,HEALTH,walk,"Doctors treating addiction, and drug companies",Do addiction doctors get paid more by drugmakers when they prescribe more?,Would be a bribe-for-prescriptions pattern,HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS|FED_CMS_PARTD_PRESCRIBER_DRUG|HEALTH__FED_CMS_OPEN_PAYMENTS_2022,,,found something,
36,Already has a number,v1-84,POLITICS,run,Members of Congress who oversee Medicare,Who's spending money for or against them in elections?,Would show who wants influence over Medicare oversight,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES|FINANCE__FED_FEC_CAND_CMTE_LINKAGE|POLITICS__FED_CONGRESS_LEGISLATORS|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,,,"lit — $586.0M against, $191.4M for, congress-matched",
37,Already has a number,v1-1,HEALTH,run,Excluded doctors and the hospices/nursing homes that keep them,Are doctors banned from Medicare still showing up on hospice paperwork?,Banned doctors shouldn't still be treating dying patients,HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION|IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS|HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,,,part done,
38,Already has a number,v1-7,HEALTH,walk,Community health clinics for the poor,Are banned doctors working at clinics serving poor neighborhoods?,Would show bad actors targeting people with fewer options,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES|HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS|HEALTH__FED_HHS_OIG_LEIE,,,found something,
39,Already has a number,v1-E75,HEALTH,run,Nursing home chains and COVID relief funds,Did the worst chains get big pandemic bailout money?,Would show bad actors profiting from a national emergency,FED_HRSA_PROVIDER_RELIEF_FUND|HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND|HEALTH__NURSING_HOME_RELIEF_BY_CHAIN|HEALTH__FED_NURSINGHOME411,,,found something,
40,Already has a number,v1-22,ENVIRONMENT,run,Neighborhoods once graded 'hazardous' for housing loans in the 1930s,Do those same neighborhoods have more toxic factories today?,Would prove 90-year-old racist housing policy still poisons people today,ENVIRONMENT__FED_EPA_TRI_FACILITY|ENVIRONMENT__FED_EPA_TRI_BASIC_2023|HOUSING__FED_MAPPING_INEQUALITY|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,found something,
41,Money and power,v2-061,HEALTH,run,The opioid chain,"Can pills shipped, prescriptions written, pharma money, deaths, and treatment sites be laid on one county over twenty years?",The whole epidemic on one scrolling page.,HEALTH__FED_DEA_ARCOS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS|HEALTH__ADDICTION_PRESCRIBERS_PAID,"NPI, FIPS",other,not started,Scrollytelling. Every join is a catalog key.
42,Money and power,v2-116,POLITICS,run,Follow the money,"From individual donor to committee to candidate to outside spending, as one flow?",A sankey of an election.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|FINANCE__FED_FEC_COMMITTEES|FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE|FINANCE__FED_FEC_CANDIDATES|FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,"FEC_CMTE_ID, FEC_CAND_ID",flow,not started,
43,Money and power,v2-104,POLITICS,walk,Senators trading in what they oversee,Do senators trade stocks in sectors their committees regulate?,The chart people will screenshot.,FINANCE__SENATE_TRADES|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,BIOGUIDE,other,not started,Sector needs a ticker-to-industry lookup; see wanted list.
44,Money and power,v2-005,HEALTH,crawl,Who pays doctors the most,"Which companies paid the most money to doctors, and for what?",The names are household brands.,HEALTH__FED_CMS_OPEN_PAYMENTS,single table,ranking,not started,15M rows. Also a by-manufacturer rollup in PUBLIC.
45,Money and power,v2-074,POLITICS,crawl,Where Texas lobbyists buy dinner,Which restaurants and which officials show up most on lobbyist meal reports?,A list of restaurants is a very human chart.,POLITICS__TX_LOBBY_FOOD_BEVERAGE,single table,ranking,not started,
46,Money and power,v2-307,HOUSING,crawl,Mortgage denial rate by race and county,"Where were applicants of one race denied far more than another, 2015 to 2017?","45M applications, one honest map.",HOUSING__FED_CFPB_HMDA_HISTORIC,single table,map,not started,"Every outcome, not just approvals."
47,Money and power,v2-163,JUSTICE,crawl,Sentence length by charge and district,Do the same federal charges get different prison time in different districts?,"Same crime, different years behind bars.",JUSTICE__FED_FJC_IDB_CRIMINAL,single table,other,not started,6.3M defendants.
48,Money and power,v2-184,JUSTICE,crawl,The racial jail gap by county,Where is the Black-white jail rate gap widest?,"Built table, one map.",JUSTICE__RACIAL_JAIL_DISPARITY,single table,map,not started,Built table.
49,Money and power,v2-182,JUSTICE,crawl,People killed by police,"How many per year, by race, armed status, and were officers charged?","Two trackers, one chart.",JUSTICE__XC_MAPPING_POLICE_VIOLENCE|JUSTICE__XC_WAPO_FATAL_FORCE,"stack, same shape",timeline,not started,Different coverage; do not add them together.
50,Money and power,v2-376,CONSUMER_SAFETY,crawl,What sends kids to the ER,Which products injure which age groups most?,9.8M ER visits.,CONSUMER_SAFETY__FED_CPSC_NEISS|EDUCATION__FED_CPSC_NEISS_CODES,code,ranking,not started,Decoder table is misfiled under EDUCATION. Not a catalog key; lookup or unproven.
