id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,matches,notes,needs,watch_out,probe,rows,time_window,effort
v2-010,HEALTH,crawl,Dialysis clinic death rates by owner,Do dialysis chains have higher patient death rates than independents?,Two companies run most of the country's dialysis.,HEALTH__FED_CMS_DIALYSIS,single table,ranking,not started,,"Death rate, readmission, infection, transplant waitlist all in one row.",,,,,,
v2-011,HEALTH,crawl,Medical device recalls over time,"Which device makers recall the most, and are serious recalls rising?",Implants and pumps people carry in their bodies.,HEALTH__FED_FDA_DEVICE_ENFORCEMENT,single table,timeline,not started,,Recall class column gives severity.,,,,,,
v2-012,HEALTH,crawl,Device injury reports by maker,Which devices show up most in injury and death reports since 2020?,The raw report count is a shock on its own.,HEALTH__FED_FDA_MAUDE,single table,ranking,not started,,2020 onward only.,,,,,,
v2-013,HEALTH,crawl,Drug side-effect reports that ended in death,"Which reported outcomes dominate, and how did the report count grow by year?",Millions of reports nobody reads.,HEALTH__FED_FDA_FAERS_OUTC|HEALTH__FED_FDA_FAERS_DEMO|HEALTH__FED_FDA_FAERS_INDI,"stack, same shape",timeline,not started,,Three tables share a report ID but that key is not in the join catalog. Treat each as single until proven.,,,,,,
v2-014,HEALTH,crawl,"Clinical trials: who sponsors, where they run","Which sponsors run the most trials, and which countries host them?",A world map of where medicine gets tested.,HEALTH__FED_CLINICALTRIALS,single table,map,not started,,600K trials. Phase and status columns give a funnel too.,,,,,,
v2-015,HEALTH,crawl,"Measles week by week, 2024","Which states drove the 2024 measles count, week by week?",A disease that was gone coming back on a chart.,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,single table,timeline,not started,,1.9M rows across all reportable diseases. Pick one disease per chart.,,,,,,
v2-016,HEALTH,crawl,"Leading causes of death by state, 1999 to 2017",Which cause of death rose fastest in each state?,"Small multiples, one per state, tell fifty stories.",HEALTH__FED_CDC_LEADING_CAUSES_STATE,single table,timeline,not started,,Has national total rows. Filter them out or they dominate.,,,,,,
v2-017,HEALTH,crawl,Suicide rate by age group,Which age groups' suicide rates rose most?,A quiet trend line that has been climbing for years.,HEALTH__FED_CDC_SUICIDE_RATES,single table,timeline,not started,,,,,,,,
v2-018,HEALTH,crawl,"Veteran suicide versus everyone else, by state",Where is the veteran suicide rate furthest above the general rate?,"Two lines per state, the gap is the story.",HEALTH__FED_VA_SUICIDE_STATE,single table,map,not started,,Comparison column already built in.,,,,,,
v2-019,HEALTH,crawl,"Abortion counts by state, month by month",How did monthly abortion counts shift between states after 2022?,Flows between states show up as one state falling and a neighbor rising.,HEALTH__XC_GUTTMACHER_MONTHLY_ABORTION,single table,timeline,not started,,Low-high range columns. Show the band.,,,,,,
v2-020,HEALTH,crawl,Doctors who quit Medicare,"Which specialties opt out of Medicare most, and is it growing?",A doctor shortage told through paperwork.,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS,single table,ranking,not started,v1-E38|v1-E42,Effective-date columns give the timeline.,,,,,,
v2-021,HEALTH,crawl,"Banned from Medicare, by reason","What gets people banned from billing Medicare, and how many come back?",Reinstatement column shows who returned.,HEALTH__FED_HHS_OIG_LEIE,single table,timeline,not started,,,,,,,,
v2-022,HEALTH,crawl,Doctor shortage areas map,Where are the worst primary-care shortage areas and how big are they?,The map of where you cannot get a doctor.,HEALTH__FED_HRSA_SHORTAGE_AREAS|HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,"stack, same shape",map,not started,,Two tables overlap. Pick the full one.,,,,,,
v2-023,HEALTH,crawl,Opioid prescribing rate by specialty and state,Which specialties and states prescribe opioids at the highest rate?,"One column in one table, huge spread.",HEALTH__FED_CMS_PART_D_PRESCRIBERS,single table,ranking,not started,,Opioid and antipsychotic rate columns already computed.,,,,,,
v2-024,HEALTH,crawl,Brand versus generic drug prices,"How big is the brand-to-generic price gap for the same drug, and how did it move?",People pay it at the counter.,HEALTH__FED_CMS_NADAC,single table,timeline,not started,,Effective-date rows give a price history per drug.,,,,,,
v2-025,HEALTH,crawl,Marketplace deductibles by metal tier,How much does a bronze deductible vary across plans and states?,"Same tier, wildly different cost.",HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF,single table,other,not started,,,,,,,,
v2-026,HEALTH,crawl,The Prop 65 list growing,How many chemicals were added to California's cancer list each year?,A list that only gets longer.,HEALTH__ST_OEHHA_PROPOSITION_65_LIST,single table,timeline,not started,,,,,,,,
v2-027,HEALTH,crawl,Fast-track versus full device approvals,How many devices cleared by 510(k) each year versus full PMA approval?,Most devices skip the hard review.,HEALTH__FED_FDA_DEVICE_510K|HEALTH__FED_FDA_DEVICE_PMA,"stack, same shape",timeline,not started,v1-109,"Two tables, no join needed, same axis.",,,,,,
v2-028,HEALTH,crawl,"Same diagnosis, different bill","For one diagnosis code, how much do hospitals' charges vary across the country?",One number a patient can understand.,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,single table,other,not started,,DRG column. Pick a knee replacement or a heart attack.,,,,,,
v2-029,HEALTH,crawl,COVID relief money to providers,Who got the most Provider Relief Fund money and where?,Pandemic money on a map.,HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND,single table,map,not started,,,,,,,,
v2-030,HEALTH,crawl,Equipment suppliers: charged versus paid,Which medical-equipment suppliers bill Medicare far above what it pays?,The gap is the markup.,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,single table,ranking,not started,v1-23|v1-10,,,,,,,
v2-031,HEALTH,crawl,Nursing home fines by year,"Which homes were fined most, and are fines rising or falling?",Fine amounts next to payment-denial periods.,HEALTH__FED_CMS_NURSING_HOME_PENALTIES,single table,timeline,not started,,,,,,,,
v2-032,HEALTH,crawl,Doctor quality scores spread,"How are Medicare quality scores distributed, and who gets penalized?",A bell curve with a cliff.,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,single table,other,not started,,,,,,,,
v2-033,HEALTH,crawl,Indian Health Service facilities map,"Where are IHS, tribal and urban Indian health facilities, and what do they offer?",Coverage gaps are visible at a glance.,HEALTH__FED_IHS_FACILITIES|HEALTH__FED_IHS_SCB_FACILITY,"stack, same shape",map,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-034,HEALTH,crawl,Health insurance coverage by group over time,Which demographic groups gained or lost coverage fastest?,Confidence ranges make the honest version.,HEALTH__FED_CDC_HEALTH_INSURANCE,single table,timeline,not started,,,,,,,,
v2-035,HEALTH,crawl,Anxiety and depression by state and group,"Which groups reported the most anxiety and depression, and when did it peak?",A pandemic mood chart.,HEALTH__FED_CDC_ANXIETY_DEPRESSION,single table,timeline,not started,,,,,,,,
v2-036,HEALTH,crawl,Life expectancy by country,"Which countries' life expectancy fell, and when?",A line that goes down is rare and gets attention.,HEALTH__XC_OWID_LIFE_EXPECTANCY,single table,timeline,not started,,,,,,,,
v2-037,HEALTH,crawl,Nursing home relief money by chain,"Which nursing home chains got the most COVID relief, and how were they rated?","Already-built table, one chart away.",HEALTH__NURSING_HOME_RELIEF_BY_CHAIN,single table,ranking,not started,v1-117|v1-E75,617 rows. Built table.,,,,,,
v2-038,HEALTH,crawl,Addiction prescribers and who paid them,Which addiction-drug prescribers were paid by drug companies in 2022?,"Built table, one scatter.",HEALTH__ADDICTION_PRESCRIBERS_PAID,single table,other,not started,,Built table.,,,,,,
v2-039,HEALTH,crawl,Health center staff on the ban list,How many community-health-center clinicians are on the exclusion or opt-out lists?,"Built table, already flagged.",HEALTH__FQHC_SITE_PEOPLE,single table,ranking,not started,v1-7|v1-25|v1-E69,Built table.,,,,,,
v2-040,HEALTH,crawl,Providers per zip code,Where are doctors dense and where are they absent?,Dots on a map of nine million providers.,HEALTH__FED_CMS_NPPES|DIM_ZIP_POINT,ZIP,map,not started,,ZIP is a code key; catalog says code keys never bridge. Practice-address zip to DIM_ZIP_POINT is a plain lookup.,,,,,,
v1-106,HEALTH,walk,Counties that received huge amounts of prescription painkillers years ago,Are those same counties still struggling with opioids today?,Connects the historic pill flood to today's ongoing crisis,FED_DEA_ARCOS_FULL|HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_CMS_PART_D_PRESCRIBERS,,,not started,"v2-Pills shipped per county, the DEA ledger",,,sits in the single biggest untouched dataset,,"180,068,296",2006-14 vs 2024,Medium — first probe query needed
v1-108,HEALTH,walk,Surgeons paid royalties on medical devices,Were they still being paid after their device got recalled?,Would show money continuing after a product proved unsafe,HEALTH__FED_FDA_DEVICE_ENFORCEMENT|HEALTH__FED_FDA_DEVICE_510K|HEALTH__FED_CMS_OPEN_PAYMENTS,,,not started,,,,"no query run yet, treat any first number as unverified",,"15,600,368",around recall date,Medium — first probe query needed
v1-109,HEALTH,walk,Medical devices approved through a faster review process,Do they have more reported deaths than devices reviewed the normal way?,Would question whether faster approval means less safe,HEALTH__FED_FDA_MAUDE|HEALTH__FED_FDA_DEVICE_510K,,,not started,v2-Fast-track versus full device approvals,,,"no query run yet, treat any first number as unverified",,"2,919,247",2020+,Medium — first probe query needed
v1-11,HEALTH,walk,"Hospitals losing money, and their doctors",Do money-losing hospitals still have doctors taking big drug company payments?,Would look hypocritical — cutting care while doctors profit,HEALTH__FED_CMS_HCRIS|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_OPEN_PAYMENTS_2023,,,part done,v2-Hospital stars against hospital margin,,"HCRIS now 13 years, 2011-2023, 80,077 rows","Partially checked, real data found",,"16,967,082",2023,"Medium — partial run, needs finishing"
v1-110,HEALTH,walk,Generic drugs with a sudden price spike,Do the same doctors' prescribing costs jump right along with it?,Would show someone profiting off a price spike,FED_CMS_NADAC|HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP|FED_CMS_PARTD_PRESCRIBER_DRUG,,,not started,,,,"no query run yet, treat any first number as unverified",,"27,525,898",effective dates,Medium — first probe query needed
v1-111,HEALTH,walk,Native American tribal health facilities,Did their nearest full-service hospital shut down?,Would show a already-underserved population losing more care,HEALTH__FED_IHS_FACILITIES|HEALTH__FED_IHS_SCB_FACILITY|HEALTH__FED_CMS_POS_OTHER,,,not started,,,,"no query run yet, treat any first number as unverified",,"54,168",2015+,Medium — first probe query needed
v1-113,HEALTH,walk,Drugs and devices under mass lawsuit,Are companies still paying doctors to promote them?,Would show payments continuing despite known harm claims,JUSTICE__FED_JPML_PENDING_MDLS|HEALTH__FED_CMS_OPEN_PAYMENTS,,,not started,,,,"no query run yet, treat any first number as unverified",,"15,385,209",after MDL date,Medium — first probe query needed
v1-117,HEALTH,walk,Nursing homes that got pandemic relief loans,Did the same ones get hit with health and safety fines?,Would show relief money not preventing bad care,ECONOMICS__FED_SBA_PPP|HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,not started,v2-Nursing home relief money by chain,,,"no query run yet, treat any first number as unverified",,"999,129",2020-21 vs fines,Medium — first probe query needed
v1-121,HEALTH,walk,People named in the Panama Papers-style offshore leaks,Are any of them U.S. doctors or political donors?,Would connect offshore secrecy to domestic money and medicine,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS|FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|HEALTH__FED_CMS_OPEN_PAYMENTS,,,not started,,,,"no query run yet, treat any first number as unverified",,"100,328,474",untimed,Medium — first probe query needed
v1-124,HEALTH,walk,Wealthy nonprofit hospitals,How much do they pay their top executives?,Extends the charity-care question with executive pay,HEALTH__HOSPITAL_OFFICER_PAY|ECONOMICS__FED_IRS_BMF|FED_IRS_990_EFILE_INDEX,,,found something,v2-Nonprofit hospital executive pay,,,"Done — 526,374 person rows, 3,918 hospital EINs, 23,810 returns","9,153 of 32,963 returns are not hosted by the IRS any more (2016-2018 object ids, plus 1,306 from 2022); one executive repeats on every affiliate return, group by person and year before ranking; 61 group-return rows carry a whole system on one line","526,374",tax years 2016-2025, thin at both ends
v1-13,HEALTH,walk,Nursing homes with fire safety violations,Do owners re-register the business right after getting fire-safety fines?,Would show dodging accountability by changing names,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES|HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,,,same as another,,,,see #30,,"214,455",2016-2026,"Medium — partial run, needs finishing"
v1-133,HEALTH,walk,Nursing home chains,Do the most-sued chains also get the most fines?,Tests if lawsuits and regulatory fines target the same bad actors,JUSTICE__FED_FJC_IDB_CIVIL|HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,not started,v2-Nursing home chain scorecard,,,"no query run yet, treat any first number as unverified",,"10,888,289",by year,Medium — first probe query needed
v1-134,HEALTH,walk,People convicted of health care fraud,Are they still allowed to work in health care because they were never formally banned?,Would show a gap between conviction and consequence,JUSTICE__FED_FJC_IDB_CRIMINAL|HEALTH__FED_HHS_OIG_LEIE,,,not started,,,,"no query run yet, treat any first number as unverified",,"6,383,655",judgment to exclusion,Medium — first probe query needed
v1-135,HEALTH,walk,Hospitals hit by ransomware attacks,Does patient care quality drop afterward?,Would show cyberattacks having real medical consequences,JUSTICE__XC_RANSOMWARELIVE_VICTIMS|HEALTH__FED_CMS_HOSPITAL_GENERAL|HEALTH__FED_NURSINGHOME411,,,not started,,,,"no query run yet, treat any first number as unverified",,"50,806",attack date on,Medium — first probe query needed
v1-143,HEALTH,walk,Companies running clinical drug trials,Are they paying the same doctors running the trial to also promote the drug?,Would be a conflict of interest in drug testing,FED_CLINICALTRIALS_FULL|HEALTH__FED_CMS_OPEN_PAYMENTS,,,part done,,,flatten LOCATIONS json to investigator-site rows; name-match to Open Payments,"full CT.gov landed 2026-09-07 into _FULL; old 500-row table and its mart untouched; NPI blank, bridge is investigator name + sponsor name",,"601,694",n/a,Medium — flatten and name-match are SQL
v1-16,HEALTH,walk,Diabetes prevention program providers,Are any of them on the federal fraud exclusion list?,Would catch fraud in a diabetes program,HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM|HEALTH__FED_HHS_OIG_LEIE,,,nothing there,,,,none found,,"84,784",snapshot,"Medium — partial run, needs finishing"
v1-18,HEALTH,walk,Surgeons who get paid royalties on medical devices,Do they order more of that device at the hospital they work for?,Would show doctors profiting from their own device choices,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,,,part done,,,,"Partially checked, real dollars found ($847M)",,"15,501,229",2024 one year,"Medium — partial run, needs finishing"
v1-19,HEALTH,walk,Doctors who get quality bonuses from Medicare,Do the ones taking industry payments still get top bonuses?,Would question whether the bonus system actually rewards good care,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE|HEALTH__FED_CMS_PART_D_PRESCRIBERS,,,nothing there,,,,"Checked, no clear pattern",,"1,920,800",2024,"Medium — partial run, needs finishing"
v1-2,HEALTH,walk,Private equity-owned nursing home chains,"Which nursing home owners get fined the most per home, and does it repeat?",Shows which owners treat fines as a cost of doing business,HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,found something,v2-Deficiencies by nursing home ownership|v2-Nursing home chain scorecard,,,one chain gets fined 5x more per home than a comparable one,,"449,372","deficiencies 2017-26, penalties 2023-06 on",Quick — re-run and check the number
v1-21,HEALTH,walk,Hospital workers vs. everyone else nearby,Do hospital employees get paid less than the local average wage?,Would show hospitals underpaying staff while cutting corners,HEALTH__FED_CMS_HCRIS|ECONOMICS__FED_BLS_QCEW,,,part done,,,,"Partially checked, real signal",,"3,625,540",2022 vs 2023,"Medium — partial run, needs finishing"
v1-23,HEALTH,walk,Medical equipment suppliers banned from Medicare,How much money did banned suppliers still collect?,"Straightforward fraud, easy to state in dollars",HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,,,found something,v2-Equipment suppliers: charged versus paid,,,"$1.4 billion, one company alone took $860 million",reports/tier1_deep_dive_2026-09-05/23_banned_dme_suppliers,"524,417",ingested 2026-07,Quick — re-run and check the number
v1-25,HEALTH,walk,Community health centers,Are centers whose local site shut down still collecting Medicare money as if open?,Would show phantom clinics still billing,HEALTH__FED_CMS_POS_OTHER|HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS|HEALTH__FED_HRSA_SHORTAGE_AREAS,,,found a little,v2-Health center staff on the ban list,,,"Small number found, worth another look",,"221,023",since 2020,"Medium — partial run, needs finishing"
v1-28,HEALTH,walk,Nursing homes and how sick they say their patients are,Do homes exaggerate patient sickness to get paid more?,Would be a well-known Medicare fraud pattern,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY|HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,,,part done,,,,"Partially checked, one time period only so far",,"31,836,407",one quarter,"Medium — partial run, needs finishing"
v1-29,HEALTH,walk,Hospitals near heavy pollution,Do hospitals near the most toxic sites fail financially more often?,Would show pollution driving hospital closures,ENVIRONMENT__FED_EPA_TRI_FACILITY|HEALTH__FED_CMS_HCRIS|HEALTH__FED_CMS_POS_OTHER,,,part done,,,,"Partially checked, one number looks suspicious and needs a second look",,"115,522",2015-2024,"Medium — partial run, needs finishing"
v1-30,HEALTH,walk,Nursing home owners,"Do new owners appear right after a home gets penalized, like a shell game?",Would show owners dodging penalties by 'selling' to themselves,HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,found something,v2-Nursing home chain scorecard,,,39 homes did exactly this,reports/tier1_deep_dive_2026-09-05/30_penalty_then_new_owner,"30,605",penalties 2023-06 on,Quick — re-run and check the number
v1-31,HEALTH,walk,Hospitals that also own home health agencies,Do hospital-owned home health agencies perform worse but cost more?,Would show hospitals steering patients to their own worse service,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS|HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS|HEALTH__FED_CMS_HOME_HEALTH,,,found a little,v2-Private equity in home care,,,mixed result,reports/tier1_deep_dive_2026-09-05/31_hospital_owned_hha,"33,075",snapshot,Quick — re-run and check the number
v1-4,HEALTH,walk,"Doctors treating addiction, and drug companies",Do addiction doctors get paid more by drugmakers when they prescribe more?,Would be a bribe-for-prescriptions pattern,HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS|FED_CMS_PARTD_PRESCRIBER_DRUG|HEALTH__FED_CMS_OPEN_PAYMENTS_2022,,,found something,v2-Paid doctors and what they prescribe,,,"OTP table was the wrong leg, it lists orgs; Part D to Open Payments on NPI","HEALTH__ADDICTION_PRESCRIBERS_PAID: 26,193 of 44,335 addiction prescribers took drugmaker money in 2022, 59%","39,177,643",one year,"Small — mart built 2026-09-07, query it"
v1-7,HEALTH,walk,Community health clinics for the poor,Are banned doctors working at clinics serving poor neighborhoods?,Would show bad actors targeting people with fewer options,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES|HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS|HEALTH__FED_HHS_OIG_LEIE,,,found something,v2-Health center staff on the ban list,,,"address bridge, 58% of sites reached; every address but one predates the exclusion","HEALTH__FQHC_SITE_PEOPLE: 88 banned people at 112 clinics, 173,813 people bridged by address","159,994",n/a,"Small — mart built 2026-09-07, query it"
v1-76,HEALTH,walk,Executives at public nursing home and hospital companies,Do they sell their company stock right before bad news like a fine hits?,"Classic insider-trading-style question, applied to health care",FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS|ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS|HEALTH__FED_NURSINGHOME411,,,not started,,,,"no query run yet, treat any first number as unverified",,"2,697,968","2025Q1+, check quarters",Medium — first probe query needed
v1-8,HEALTH,walk,Counties with rising jail populations,"When a county's jail population spikes, does drug overdose rise later?",Would link mass incarceration to community health decline,JUSTICE__XC_VERA_INCARCERATION_TRENDS|HEALTH__FED_HRSA_SHORTAGE_AREAS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY,,,part done,"v2-Overdose and jail, worst-tenth counties",,,"Partially checked, real pattern not confirmed yet",,"347,425",2010-2024,"Medium — partial run, needs finishing"
v1-9,HEALTH,walk,"Factories that pollute the most, and their workers",Do the biggest polluters also pay their workers the least?,Would show a double harm on the same community,ENVIRONMENT__FED_EPA_GHGRP_FACILITY|ECONOMICS__FED_BLS_QCEW|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,part done,,,,"Partially checked, weak so far",,"3,887,442",cross-section,"Medium — partial run, needs finishing"
v1-98,HEALTH,walk,Nursing homes located near unsafe dams,Are any sitting downstream of a dam rated poor with no emergency plan?,Would be a public safety hazard nobody's tracking,ENVIRONMENT__FED_NID_DAMS|HEALTH__FED_CMS_NURSING_HOME,,,not started,,,,"no query run yet, treat any first number as unverified",,"107,466",last inspection,Medium — first probe query needed
v1-A32,HEALTH,walk,Banned health care companies and political donors,Do banned companies' owners also donate to political campaigns?,Would connect fraud money to political influence,HEALTH__FED_HHS_OIG_LEIE|PROCUREMENT__FED_SAM_EXCLUSIONS|FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,,,not started,,,,"no query run yet, treat any first number as unverified",,"84,424,187",untimed,Medium — first probe query needed
v1-A33,HEALTH,walk,Private equity nursing home owners,Do the worst-fined chains also run a political action committee?,Would show fined companies buying political protection,HEALTH__FED_NURSINGHOME411|FINANCE__FED_FEC_COMMITTEES,,,not started,,,,"no query run yet, treat any first number as unverified",,"74,744",untimed,Medium — first probe query needed
v1-E34,HEALTH,walk,Counties with hazardous waste sites,Do they have more drug overdose deaths?,Would link toxic waste to community despair,ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOLATIONS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY,,,nothing there,,,,no real relationship found,,"761,501",2003-2015,Skip — already ruled out
v1-E35,HEALTH,walk,States that decriminalized drugs,Did overdose deaths rise where jails emptied out?,Tests a real policy debate with real data,JUSTICE__XC_VERA_INCARCERATION_TRENDS|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,found a little,,,,One state (Washington) shows a strong pattern; nationally it's not clear,,"260,507",2019-2024,"Medium — partial run, needs finishing"
v1-E36,HEALTH,walk,Counties hit by major disasters,Does overdose death rise after a disaster?,Would show disaster trauma driving addiction,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,nothing there,,,,no pattern found,,"26,382,920",2019-2024,Skip — already ruled out
v1-E37,HEALTH,walk,Doctors and the drug industry money they get,Does a pay raise from a drug company lead to more prescriptions?,The classic 'paid to prescribe' question,HEALTH__FED_CMS_OPEN_PAYMENTS_2023|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS,,,nothing there,v2-Paid doctors and what they prescribe,,,the money is mostly stock deals and consulting fees,,"31,502,716",PY2023-24,"Medium — partial run, needs finishing"
