id,where_it_stands,question,tables_it_needs,tables_we_have,rows_we_have,years_known,oldest_of_them,on_the_shelf,needs
31,found a little,Do hospital-owned home health agencies perform worse but cost more?,3,3,33075,1808-2026,,all tables here,
76,not started,Do they sell their company stock right before bad news like a fine hits?,3,3,2697968,1967-2028,,all tables here,
77,not started,Do they own stock in companies whose cases they're deciding?,3,3,12810285,1901-2026,,all tables here,
78,not started,Do they trade stock in industries their own committee oversees?,3,3,957752,2012-2020,,all tables here,senate trades stop 2020-12; committee roster is current-only
79,not started,Did they quietly switch auditors right before collapsing?,3,3,2981945,1970-2026,,all tables here,
80,not started,Do they still keep winning government contracts?,2,2,93565062,2016-2026,,all tables here,
81,not started,Did executives sell their own stock right before the collapse?,4,4,6983857,1975-2028,,all tables here,
82,not started,Do unions reporting missing money also have an active political fund?,2,2,677741,1999-2026,,all tables here,
83,not started,Does lobbying spending spike right before a new safety rule is finalized?,2,2,914380,2001-2026,,all tables here,LDA missing 2011-2019; Federal Register only 2023-26
84,not started,Who's spending money for or against them in elections?,4,4,308215,1789-2027,,all tables here,FEC IE mart totals 20x high; committee roster is current-only
85,not started,Does it flow from their corporate PAC into top leaders' campaign funds?,3,3,15453697,2024-2024,,all tables here,
86,not started,Are big-spending political advertisers avoiding official campaign finance reporting?,3,3,374229,1976-2026,,all tables here,
87,not started,Do they also personally donate to U.S. political campaigns?,2,2,84394012,1942-2028,stale,here but going stale,FEC indiv is 2023-26 only
88,not started,Are the same people also treasurers of federal campaign committees?,2,2,249624,,,all tables here,527 Schedule A/B not landed
89,not started,Do the same people wine and dine state lawmakers and donate federally?,3,3,84980743,1899-2028,,all tables here,FEC indiv is 2023-26 only
90,not started,Do agency contracts shift toward an official's old industry after they arrive?,2,2,93153830,,,all tables here,revolving-door has no names
91,not started,"Do they buy a stock, then introduce a bill that helps it?",3,3,412557,2012-2026,,all tables here,senate trades stop 2020-12; house trade lines are PDFs; bills only 118th-119th
92,not started,Does office spending go to vendors who are also campaign donors?,2,2,89086588,2000-2028,,all tables here,FEC indiv is 2023-26 only
93,not started,Do places with more rejected mail ballots overlap with high-incarceration areas?,3,3,164603,1970-2026,,all tables here,
94,not started,Does a judge's political leaning or donations predict how they rule?,3,3,95037994,1806-2028,,all tables here,FEC indiv is 2023-26 only
95,not started,Do gifts or debts they report ever involve parties in their own courtroom?,3,3,54272,1970-2025,,all tables here,
96,not started,Do they still get disaster payouts for flood damage?,2,2,26276045,1970-2027,,all tables here,
97,not started,Are they being rebuilt each time instead of relocated?,3,3,26300071,1933-2028,,all tables here,
98,not started,Are any sitting downstream of a dam rated poor with no emergency plan?,2,2,107466,1901-2026,,all tables here,
99,not started,Do the ones with unsafe dams also have a pile of unpaid safety fines?,3,3,3271937,1901-2026,,all tables here,
100,not started,Did they spring up right after the disaster was declared?,2,2,119404344,2005-2027,,all tables here,
101,not started,Are they still using outdated flood maps?,2,2,1805855,1970-2020,,all tables here,
102,not started,Do they also have the worst drinking water problems?,4,4,22752998,1900-2028,,all tables here,
103,not started,Do they still win federal contracts afterward?,3,3,94350772,1908-2026,,all tables here,
104,not started,Do the same addresses show up behind multiple fatal crashes?,3,3,377918,1980-2028,,all tables here,
105,not started,Do the same crossings get hit by trains again and again?,2,2,1401937,1975-2026,,all tables here,
106,not started,Are those same counties still struggling with opioids today?,3,3,180068296,1999-2015,,all tables here,
107,not started,Did the biggest distributors in a state match who actually got sued?,2,2,178598908,2021-2021,,all tables here,
108,not started,Were they still being paid after their device got recalled?,3,3,15600368,1930-2026,,all tables here,
109,not started,Do they have more reported deaths than devices reviewed the normal way?,2,2,2919247,1976-2026,,all tables here,
110,not started,Do the same doctors' prescribing costs jump right along with it?,3,3,27525898,2006-2026,stale,here but going stale,
111,not started,Did their nearest full-service hospital shut down?,3,3,54168,1993-2023,,all tables here,
112,not started,Do the ones with more retracted (fake or flawed) studies keep getting funded?,3,3,2413705,1753-2028,,all tables here,
113,not started,Are companies still paying doctors to promote them?,2,2,15385209,2024-2024,,all tables here,
114,not started,Are they going uninspected for years at a time?,3,3,9214469,1970-2026,,all tables here,
115,not started,Do accidents happen at their mines afterward?,2,2,3360888,1994-2026,,all tables here,
116,not started,Do they pay the legal minimum wage and also rack up serious safety violations?,3,3,6029356,1908-2026,,all tables here,
117,not started,Did the same ones get hit with health and safety fines?,3,3,999129,1800-2026,,all tables here,
118,missing a piece,Do the ones with the worst loan losses also have enforcement actions against them?,2,2,2174516,1991-2026,unknown,all tables here,
119,not started,"How much do they get paid per day, per detained person?",3,3,95726889,2022-2026,,all tables here,
120,not started,Do they also have high jail populations generally?,2,2,738276,1921-2026,,all tables here,
121,not started,Are any of them U.S. doctors or political donors?,3,3,100328474,2000-2028,,all tables here,
122,not started,Are any of them under U.S. or international sanctions?,3,3,17105571,1776-2026,,all tables here,
123,not started,Who's the real parent company hiding behind them?,4,4,15001221,1500-2027,,all tables here,
124,missing a piece,How much do they pay their top executives?,2,2,7519456,1900-2026,,all tables here,
125,not started,Are they still operating and filing paperwork as if nothing happened?,3,3,1340465,2000-2026,,all tables here,
126,not started,Do consumer complaints about them pile up before regulators catch on?,2,2,17173686,2011-2026,,all tables here,
127,not started,Are banks pulling branches out of those neighborhoods over time?,2,2,2824132,1970-2025,,all tables here,
128,part done,Were failed banks still active members right up until they collapsed?,2,2,9911,1970-2026,,all tables here,
129,not started,Do complaints pile up for years before an official recall happens?,2,2,2469802,1900-2027,,all tables here,
130,not started,Are their affordability contracts expiring in fast-gentrifying areas?,2,2,209116,1975-2027,,all tables here,
131,not started,Do they charge higher rates in historically redlined neighborhoods?,3,3,45055469,2026-2026,,all tables here,
132,not started,Do bankruptcy filings spike in the year after?,2,2,33216361,2005-2027,,all tables here,
133,not started,Do the most-sued chains also get the most fines?,3,3,10888289,1901-2026,,all tables here,
134,not started,Are they still allowed to work in health care because they were never formally banned?,2,2,6383655,1971-2026,,all tables here,
135,not started,Does patient care quality drop afterward?,3,3,50806,1967-2025,,all tables here,
136,not started,Do the ones with the most known security flaws still win contracts?,2,2,93155098,2021-2026,,all tables here,
137,not started,Are any of them showing up at U.S. ports anyway?,2,2,58125631,2024-2024,stale,here but going stale,
138,not started,Do the ones involved in the most killings still get the most federal grant money?,2,2,19918355,2013-2026,,all tables here,
139,part done,Are more dealers in an area linked to more gun deaths?,3,3,225959,1998-2023,,all tables here,
140,not started,Which investment funds and political donors are behind them?,4,4,3886063,2017-2025,,all tables here,
141,not started,Do the ones with the worst storm outages also charge the highest rates?,4,4,1796291,2024-2024,,all tables here,
142,not started,Do some have pollution spikes that never trigger a violation?,3,3,16637002,2026-2026,,all tables here,
143,missing a piece,Are they paying the same doctors running the trial to also promote the drug?,2,2,15385547,2009-2028,,all tables here,
144,missing a piece,Do outcomes vary a lot by judge and detention facility?,1,1,12631225,,,all tables here,
A32,not started,Do banned companies' owners also donate to political campaigns?,3,3,84424187,1908-2028,,all tables here,
A33,not started,Do the worst-fined chains also run a political action committee?,2,2,74744,1967-2025,,all tables here,
A34,not started,Do polluted districts get less help from their representative?,3,3,4980621,2019-2019,,all tables here,
A35,not started,Do members trade stock in industries their committee oversees?,2,2,45762,2008-2026,,all tables here,
A36,not started,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,2,2,870609,2024-2026,,all tables here,
A37,not started,Do sanctioned individuals still show up as political donors?,4,4,84250573,2000-2028,,all tables here,
E32,nothing there,Do drinking water violations spike after a flood?,2,2,41683657,1900-2028,,all tables here,
E33,found a little,Do they violate pollution rules more right after a storm?,2,2,9732386,,,all tables here,
E34,nothing there,Do they have more drug overdose deaths?,2,2,761501,1900-2026,,all tables here,
E35,found a little,Did overdose deaths rise where jails emptied out?,2,2,260507,1970-2026,,all tables here,
E36,nothing there,Does overdose death rise after a disaster?,2,2,26382920,2005-2027,,all tables here,
E37,nothing there,Does a pay raise from a drug company lead to more prescriptions?,3,3,31502716,2023-2024,,all tables here,
E38,found something,Are drug and device companies still paying them anyway?,2,2,15442256,2024-2028,,all tables here,
E39,found something,Do the paid ones prescribe way more opioids than unpaid ones?,2,2,16801930,2024-2024,,all tables here,
E40,found something,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,2,2,19388356,2010-2026,,all tables here,
E41,found something,Can hospitals still legally order tests and equipment through them?,2,2,2102101,1977-2026,,all tables here,
E42,found something,Is drug industry money still being sent to them?,2,2,24991730,2010-2026,,all tables here,
E43,found something,Were they already losing money before the sale?,2,2,50532,1993-2024,,all tables here,HCRIS one vintage
E44,found something,Did its safety violations get worse right before the fines hit?,2,2,434659,2023-2026,,all tables here,
E45,nothing there,Do safety violations spike after a storm hits the area?,2,2,2199209,2026-2026,,all tables here,
E46,nothing there,Are these 'triple owners' actually better or worse than others?,2,2,2274906,1967-2025,,all tables here,
E47,found something,Were they already in financial trouble before converting?,2,2,50532,1993-2024,,all tables here,HCRIS one vintage
E48,found something,Were their financial reports already bad beforehand?,2,2,50532,1993-2024,,all tables here,HCRIS one vintage
E49,found something,Did they win government contracts specifically during their ban?,2,2,93321752,1908-2026,,all tables here,
E50,nothing there,"Do new health care businesses pop up right after, chasing relief money?",2,2,26262428,1808-2027,,all tables here,
E51,found a little,Does that label actually bring in more clinics?,2,2,98196,1980-2026,,all tables here,
E52,found a little,"Do wages, suicide, and overdose rates all get worse there?",3,3,3879944,1970-2026,,all tables here,
E53,nothing there,Do they get penalized less often than other neighborhoods?,2,2,3220945,1908-2026,,all tables here,
E54,nothing there,Do they pay workers less than clean factories?,2,2,3721474,2022-2022,,all tables here,
E55,nothing there,Is poor housing placed disproportionately near hazards?,3,3,18603892,1900-2028,,all tables here,
E56,nothing there,Do bonus and non-bonus doctors get similar industry money?,2,2,15888964,2024-2024,,all tables here,
E57,found something,Are they also the ones industry pays the most?,2,2,16681786,2024-2024,,all tables here,
E58,nothing there,Do states with more malpractice payouts also get more industry money?,3,3,17115888,1900-2023,,all tables here,
E59,nothing there,Do they have the worst quality ratings?,2,2,8476,,,all tables here,
E60,found a little,Do they die at a higher rate?,2,2,27889193,1900-2028,,all tables here,
E61,found a little,Do they also have worse finances?,2,2,714217,1900-2026,,all tables here,
E62,found something,Are they still getting cited for missing sprinkler systems?,2,2,433192,1967-2026,,all tables here,
E63,found a little,Does patient harm go up when leadership keeps turning over?,2,2,433192,1967-2026,,all tables here,
E64,found a little,Does the money keep flowing to them anyway?,2,2,20314517,2016-2026,,all tables here,
E65,nothing there,Were they still getting paid after losing it?,2,2,21090245,2010-2026,,all tables here,
E66,nothing there,Are they still getting health grants?,2,2,20071207,1908-2026,,all tables here,
E67,nothing there,Do they also have fewer doctors available?,2,2,9735190,1970-2026,,all tables here,
E68,found something,Do they give very little free care to the poor despite huge profits?,1,1,6103,2022-2024,,all tables here,
E69,part done,How much grant money reaches each patient?,3,3,19905591,,,all tables here,
E70,nothing there,Are the worst-rated homes still getting VA contracts?,2,2,93168137,1967-2025,,all tables here,
E71,found a little,Does more payment per person mean more opioid prescribing?,2,2,16801930,2024-2024,,all tables here,
E72,nothing there,Is it sitting empty more than in safer counties?,2,2,26286521,2005-2027,,all tables here,
E73,missing a piece,Do banned contractors turn out to also be doctors?,2,2,9775011,1908-2026,,all tables here,
E74,missing a piece,Is there a record of who the new owner is?,2,2,56821,1966-2025,,all tables here,
E75,missing a piece,Did the worst chains get big pandemic bailout money?,2,2,14758,1967-2025,,all tables here,
