model,column,clock,grain,is_primary,confidence,why,overturned_from,overturn_why,evidence_file
health__fed_cdc_suicide_rates,age_num,not_a_date,unknown,False,high,Ordinal code for the age group.,,,
health__fed_cdc_wonder,year,happened,year,True,high,try_to_number(trim(YEAR)) in staging; year of death for the national mortality grid.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_cdc_wonder/stg_fed_cdc_wonder__records.sql
health__fed_clinicaltrials,first_posted_date,reported,day,False,high,try_to_date 'YYYY-MM-DD' - when the registration first appeared publicly.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,start_date,span_start,day,True,high,try_to_date 'YYYY-MM-DD' - the trial's period-of-performance start.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,primary_completion_date,span_end,day,False,high,End of the primary-outcome collection window; legitimately future-dated.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,completion_date,span_end,day,False,high,"Trial period end; the 3 far-future rows (max 2032) are real, not corruption.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,results_first_posted_date,reported,day,False,high,When results were first posted to the registry.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,last_update_posted_date,reported,day,False,high,"Registry last-update posting stamp - the source's vintage, not an event.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_clinicaltrials/stg_fed_clinicaltrials__clinical_trials.sql
health__fed_clinicaltrials,study_duration_days,not_a_date,unknown,False,high,"datediff('day', start_date, completion_date) - a duration.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_clinicaltrials.sql
health__fed_clinicaltrials,days_to_results_posting,not_a_date,unknown,False,high,datediff between two posting dates - a duration.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_clinicaltrials.sql
health__fed_clinicaltrials,minimum_age,not_a_date,unknown,False,high,Eligibility age floor as text (e.g. '18 Years').,,,
health__fed_clinicaltrials,maximum_age,not_a_date,unknown,False,high,Eligibility age ceiling as text.,,,
health__fed_cms_dialysis,five_star_date,not_a_date,unknown,False,low,"Data-collection period marker beside the five-star block; CMS ships these as ranges, so the bare try_to_date may null them.","clock=span_end, grain=unknown, is_primary=false","Bare try_to_date(FIVE_STAR_DATE) in the mart, and the column carries zero non-null values (census blank across all 14 DATE columns; 8 of them explicitly min=None in the 2026-08-11 scan). A real point date in MM/DD/YYYY or ISO would have parsed, so whatever CMS ships in these measure-block *_DATE fields is not a parseable point date — it is the measurement-window label that sits above each measure block (the compiled SQL shows each *_DATE immediately followed by that measure's category text and data-availability code). Recording it as a span_end puts a phantom period bound in the time index. Caveat: with the warehouse down I could not sample raw values, so this is name+structure+null evidence, not a value check.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_dialysis.sql
health__fed_cms_dialysis,certification_date,decided,day,True,medium,try_to_date of the Medicare certification date - the only per-facility clock on this table.,"clock=decided, grain=day, is_primary=true, confidence=medium","The census for this batch records NO date min, NO date max, 0 epoch-1970 rows and 0 far-future rows for a table that has 14 DATE-typed columns (per the 2026-08-12 mart column-type inventory). I verified the census statistic is a min/max taken across ALL date columns of a mart, not one chosen column, by reproducing it on three tables (hcris: census min comes from fiscal_year_begin_date, census max from fiscal_year_end_date; nursing_home_penalties: min from penalty_date, max from processing_date; hrsa_shortage_areas: min from hpsa_designation_date, max from data_warehouse_record_create_date). A blank census therefore means zero non-null date values anywhere on the table, certification_date included. The 2026-08-11 per-column scan independently shows min=None for all eight of this table's DATE columns it captured.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_dialysis.sql
health__fed_cms_dialysis,claims_date,not_a_date,unknown,False,low,Claims-data collection period marker; range-valued risk.,"clock=span_end, grain=unknown, is_primary=false","Same family as five_star_date: bare try_to_date, zero non-null values table-wide per the census, and it sits as the window label above the claims-based measure block rather than being a parseable point date.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_dialysis.sql
health__fed_cms_dialysis,eqrs_date,not_a_date,unknown,False,low,EQRS reporting-period marker beside its measure block.,"clock=span_end, grain=unknown, is_primary=false","Directly confirmed empty: the 2026-08-11 per-column mart date scan reports EQRS_DATE min=None, max=None over 7,557 rows, and the current census confirms zero non-null dates table-wide. A bare try_to_date that yields nothing on every row means the source value is not a point date — it is the EQRS reporting-window label.",
health__fed_cms_dialysis,smr_date,not_a_date,unknown,False,low,Standardized mortality ratio measurement-period marker (sits above the mortality columns).,"clock=span_end, grain=unknown, is_primary=false","Same measure-block window label pattern; zero non-null values table-wide per the current census, so it cannot serve as a period bound.",
health__fed_cms_dialysis,shr_date,not_a_date,unknown,False,low,Standardized hospitalization ratio period marker.,"clock=span_end, grain=unknown, is_primary=false","Directly confirmed empty: 2026-08-11 scan reports SHR_DATE min=None/max=None on all 7,557 rows. A window label, not a point date.",
health__fed_cms_dialysis,srr_date,not_a_date,unknown,False,low,Standardized readmission ratio period marker.,"clock=span_end, grain=unknown, is_primary=false",Directly confirmed empty: 2026-08-11 scan reports SRR_DATE min=None/max=None on all rows.,
health__fed_cms_dialysis,strr_date,not_a_date,unknown,False,low,Standardized transfusion ratio period marker.,"clock=span_end, grain=unknown, is_primary=false",Same measure-block window label pattern; zero non-null values table-wide per the current census.,
health__fed_cms_dialysis,fyswr_date,not_a_date,unknown,False,low,First-year transplant-waitlist ratio period marker.,"clock=span_end, grain=unknown, is_primary=false",Directly confirmed empty: 2026-08-11 scan reports FYSWR_DATE min=None/max=None on all rows.,
health__fed_cms_dialysis,first_year_standardized_kidney_transplant_waitlist_ratio,not_a_date,unknown,False,high,try_to_double of a ratio; matched only on 'first year'.,,,
health__fed_cms_dialysis,sedr_date,not_a_date,unknown,False,low,Emergency-department measure period marker.,"clock=span_end, grain=unknown, is_primary=false",Directly confirmed empty: 2026-08-11 scan reports SEDR_DATE min=None/max=None on all rows.,
health__fed_cms_dialysis,ed30_date,not_a_date,unknown,False,low,30-day ED-visit measure period marker.,"clock=span_end, grain=unknown, is_primary=false",Directly confirmed empty: 2026-08-11 scan reports ED30_DATE min=None/max=None on all rows.,
health__fed_cms_dialysis,emergency_department_encounter_ratio_occurring_within_30_days_of_hospital_discharge_data_availability_code,not_a_date,unknown,False,high,try_to_number of a data-availability CODE - the code-not-date trap.,,,
health__fed_cms_dialysis,standardized_ed_visits_within_30_days_of_hospital_discharge_ratio_facility,not_a_date,unknown,False,high,try_to_double of a ratio; '30 days' is measure wording.,,,
health__fed_cms_dialysis,years_modality_switch_based_upon,not_a_date,unknown,False,high,A count of years the measure rests on - same class as years_in_medicare.,,,
health__fed_cms_dialysis,sir_date,not_a_date,unknown,False,low,Standardized infection ratio period marker.,"clock=span_end, grain=unknown, is_primary=false",Directly confirmed empty: 2026-08-11 scan reports SIR_DATE min=None/max=None on all rows.,
health__fed_cms_dialysis,hcp_vaccination_data_collection_dates,not_a_date,unknown,False,low,Plural 'dates' - a collection-period range cast with a bare try_to_date; very likely nulls.,"clock=span_end, grain=unknown, is_primary=false","The name itself is plural — a data-COLLECTION-DATES window, not one point in time — and the 2026-08-11 scan confirms HCP_VACCINATION_DATA_COLLECTION_DATES is min=None/max=None on all 7,557 rows after the bare try_to_date. A single column holding a collection window is a label, not a span_end.",
health__fed_cms_dialysis,number_of_adult_hd_patient_months_with_kt_v_data,not_a_date,unknown,False,high,try_to_number - a count of patient-months (exposure units).,,,
health__fed_cms_dialysis,number_of_adult_pd_patient_months_with_kt_v_data,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,number_of_pediatric_hd_patient_months_with_kt_v_data,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,number_of_pediatric_pd_patient_months_with_kt_v_data,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,number_of_patient_months_in_hypercalcemia_summary,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,number_of_patient_months_in_serum_phosphorus_summary,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,long_term_catheter_data_availability_code,not_a_date,unknown,False,high,try_to_double of an availability CODE; 'long term' is clinical wording.,,,
health__fed_cms_dialysis,number_of_patients_in_long_term_catheter_summary,not_a_date,unknown,False,high,A patient count.,,,
health__fed_cms_dialysis,number_of_patient_months_in_long_term_catheter_summary,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_dialysis,percentage_of_adult_patients_with_long_term_catheter_in_use,not_a_date,unknown,False,high,try_to_double of a percentage.,,,
health__fed_cms_dialysis,number_of_patient_months_in_npcr_summary,not_a_date,unknown,False,high,Count of patient-months.,,,
health__fed_cms_facility_level_minimum_data_set_frequency,report_date,reported,quarter,True,medium,try_to_date of the MDS frequency report date; CMS publishes this file quarterly so real resolution is quarter.,"clock=reported, grain=quarter, is_primary=true, confidence=medium","This is the biggest table in the batch at 31.4M rows and its nominated primary is empty. try_to_date(REPORT_DATE) with no format in the mart; the 2026-08-11 per-column scan reports REPORT_DATE min=None/max=None, and the current census reports no date min/max, 0 epoch and 0 far-future for a table whose ONLY date-typed column is REPORT_DATE. Two independent scans agree the column is 100% NULL. The 'quarter' grain was also asserted with no supporting evidence — no file in the repo documents this column's resolution, so it should be unknown until values can be sampled.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_facility_level_minimum_data_set_frequency.sql
health__fed_cms_federally_qualified_health_center_enrollments,incorporation_date,happened,day,True,high,try_to_date of incorporation; 281 rows on 1970-01-01 and an 1817 floor are sentinels.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_federally_qualified_health_center_enrollments.sql
health__fed_cms_hcris,fiscal_year_end_date,span_end,day,False,high,try_to_date in staging; end of the cost report's fiscal year.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_cms_hcris/stg_fed_cms_hcris__hospital_cost_report.sql
health__fed_cms_hcris,fiscal_year_begin_date,span_start,day,True,high,try_to_date in staging; start of the cost-report period.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_cms_hcris/stg_fed_cms_hcris__hospital_cost_report.sql
health__fed_cms_hcris,fiscal_year_end_date_key,span_end,day,False,high,"A copy of fiscal_year_end_date exposed as a join key, not a second clock.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_hcris.sql
health__fed_cms_hcris,fiscal_year_length_days,not_a_date,unknown,False,high,"datediff('day', begin, end) - a duration.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_hcris.sql
health__fed_cms_hcris,total_bed_days_available,not_a_date,unknown,False,high,A count of bed-days (capacity).,,,
health__fed_cms_hcris,total_days_title_v,not_a_date,unknown,False,high,A count of patient-days under Title V.,,,
health__fed_cms_hcris,total_days_title_xviii,not_a_date,unknown,False,high,A count of patient-days under Title XVIII.,,,
health__fed_cms_hcris,total_days_title_xix,not_a_date,unknown,False,high,A count of patient-days under Title XIX.,,,
health__fed_cms_hcris,total_days_all,not_a_date,unknown,False,high,Total patient-days; used as the occupancy numerator in this same model.,,,
health__fed_cms_hcris,hospital_total_bed_days_available_adults_peds,not_a_date,unknown,False,high,A count of bed-days.,,,
health__fed_cms_hcris,hospital_total_days_title_v_adults_peds,not_a_date,unknown,False,high,A count of patient-days.,,,
health__fed_cms_hcris,hospital_total_days_title_xviii_adults_peds,not_a_date,unknown,False,high,A count of patient-days.,,,
health__fed_cms_hcris,hospital_total_days_title_xix_adults_peds,not_a_date,unknown,False,high,A count of patient-days.,,,
health__fed_cms_hcris,hospital_total_days_all_adults_peds,not_a_date,unknown,False,high,A count of patient-days.,,,
health__fed_cms_hcris,notes_and_loans_payable_short_term,not_a_date,unknown,False,high,A balance-sheet dollar amount; matched only on 'short term'.,,,
health__fed_cms_hcris,other_long_term_liabilities,not_a_date,unknown,False,high,A balance-sheet dollar amount; matched only on 'long term'.,,,
health__fed_cms_hcris,total_long_term_liabilities,not_a_date,unknown,False,high,A balance-sheet dollar amount.,,,
health__fed_cms_home_health,certification_date,decided,day,True,high,try_to_date of the Medicare certification date; 26 rows land on 1970-01-01.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_home_health.sql
health__fed_cms_home_health,numerator_for_how_often_the_home_health_team_began_their_patients_care_in_a_timely_manner,not_a_date,unknown,False,high,Quality-measure numerator count; matched on 'timely'.,,,
health__fed_cms_home_health,denominator_for_how_often_the_home_health_team_began_their_patients_care_in_a_timely_manner,not_a_date,unknown,False,high,Quality-measure denominator count.,,,
health__fed_cms_home_health,how_often_the_home_health_team_began_their_patients_care_in_a_timely_manner,not_a_date,unknown,False,high,Quality-measure percentage.,,,
health__fed_cms_home_health,footnote_for_how_often_the_home_health_team_began_their_patients_care_in_a_timely_manner,not_a_date,unknown,False,high,Footnote text on the measure.,,,
health__fed_cms_home_health,numerator_for_how_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,not_a_date,unknown,False,high,Measure numerator count; matched on 'current flu season'.,,,
health__fed_cms_home_health,denominator_for_how_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,not_a_date,unknown,False,high,Measure denominator count.,,,
health__fed_cms_home_health,how_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,not_a_date,unknown,False,high,Measure percentage.,,,
health__fed_cms_home_health,footnote_for_how_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,not_a_date,unknown,False,high,Footnote text.,,,
health__fed_cms_home_health,numerator_for_how_often_physician_recommended_actions_to_address_medication_issues_were_completely_timely,not_a_date,unknown,False,high,Measure numerator count; matched on 'timely'.,,,
health__fed_cms_home_health,denominator_for_how_often_physician_recommended_actions_to_address_medication_issues_were_completely_timely,not_a_date,unknown,False,high,Measure denominator count.,,,
health__fed_cms_home_health,how_often_physician_recommended_actions_to_address_medication_issues_were_completely_timely,not_a_date,unknown,False,high,Measure percentage.,,,
health__fed_cms_home_health,footnote_for_how_often_physician_recommended_actions_to_address_medication_issues_were_completely_timely,not_a_date,unknown,False,high,Footnote text.,,,
health__fed_cms_home_health_agency_enrollments,incorporation_date,happened,day,True,high,try_to_date of incorporation; 7 epoch-1970 rows and an 1808 floor are sentinels.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_home_health_agency_enrollments.sql
health__fed_cms_hospice,certification_date,decided,day,True,high,try_to_date of the Medicare certification date for the hospice.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_hospice.sql
health__fed_cms_hospital_enrollments,incorporation_date,happened,day,True,high,try_to_date of incorporation; 60 epoch-1970 rows and an 1800-01-01 floor.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_hospital_enrollments.sql
health__fed_cms_hospital_enrollments,subgroup_long_term,not_a_date,unknown,False,high,Y/N hospital-subtype flag; matched only on 'long term'.,,,
health__fed_cms_hospital_enrollments,subgroup_short_term,not_a_date,unknown,False,high,Y/N hospital-subtype flag.,,,
health__fed_cms_hospital_enrollments,subgroup_swing_bed_approved,not_a_date,unknown,False,high,"Y/N approval flag, no date in it.",,,
health__fed_cms_hospital_enrollments,reh_conversion_date,happened,day,False,medium,"try_to_date of the Rural Emergency Hospital conversion; sparse, only set for converters.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_hospital_enrollments.sql
health__fed_cms_irf,certification_date,decided,day,True,high,try_to_date of the Medicare certification date for the rehab facility.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_irf.sql
health__fed_cms_ltch,certification_date,decided,day,True,high,try_to_date of the Medicare certification date; 1 epoch-1970 row.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_ltch.sql
health__fed_cms_main,update_frequency,not_a_date,unknown,False,high,"A cadence label for a data.cms.gov dataset (e.g. 'Annually'), uncast - not a point in time.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_main.sql
health__fed_cms_medicare_dialysis_facilities,year_col,happened,year,True,high,try_to_number(YEAR) - the measurement year for the facility-measure row.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_medicare_dialysis_facilities.sql
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,bene_avg_age,not_a_date,unknown,False,high,Average beneficiary age.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/health/health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer.sql
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,bene_age_lt_65_cnt,not_a_date,unknown,False,high,try_to_number - count of beneficiaries under 65.,,,
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,bene_age_65_74_cnt,not_a_date,unknown,False,high,Count of beneficiaries aged 65-74.,,,
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,bene_age_75_84_cnt,not_a_date,unknown,False,high,Count of beneficiaries aged 75-84.,,,
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,bene_age_gt_84_cnt,not_a_date,unknown,False,high,Count of beneficiaries over 84.,,,
