table	column	check	result	severity	proposed_fix
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	PREPARER_US_STATE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	PREPARER_US_ZIP	C2 tag fails its format	ZIP: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	PREPARER_FOREIGN_PROV_STATE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_DOL_FORM5500	PREPARER_FOREIGN_CNTRY	C2 tag fails its format	COUNTRY: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT	AUDITEE_UEI	C2 tag fails its format	UEI: 44.5% of 2000 sampled values fit; e.g. ['VERA07329983', 'GSA_MIGRATION', 'CQDEA4EK2WN7']	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT	AUDITEE_UEI	C2 catalog regex tag wrong	UEI/DUNS: 44.5% fit; e.g. ['VERA07329983', 'GSA_MIGRATION', 'CQDEA4EK2WN7']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS	FIPS	C2 tag fails its format	FIPS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS	STATE_ABBR	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS	CITY_STATE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['EAST PEORIA, IL', 'GRANTWOOD, NJ', 'CUMMINGS, ND']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS	CITY_STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['EAST PEORIA, IL', 'GRANTWOOD, NJ', 'CUMMINGS, ND']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_FOREIGNASSISTANCE	EIN	C2 tag fails its format	EIN: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_IRS_990	STATE	C2 tag fails its format	STATE: 0 of 200 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_IRS_990	ZIP_CODE	C2 tag fails its format	ZIP: 0 of 200 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_IRS_EO_PR	ORGANIZATION	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '5', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_IRS_SOI_CHARITIES	C_ORGANIZATION	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '2', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_PBGC_DATA	TABLE_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['S-52', 'M-13', 'S-51']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_PBGC_DATA	METRIC_NAME	C2 name tag holds something else	numbers; org words 1.4%, people 0.0%; e.g. ['Iowa', '50% - 59%', 'TOTAL']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_PBGC_DATA	STATE	C2 tag fails its format	STATE: 0.0% of 119 sampled values fit; e.g. ['Iowa', 'TOTAL', 'Oregon']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_PBGC_DATA	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['Iowa', 'TOTAL', 'Oregon']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_SBA_LOANS	BORROWER_CITY	C2 name tag holds something else	places; org words 3.5%, people 0.1%; e.g. ['Findlay', 'Hauppauge', 'SANTA CLARA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_SBA_LOANS	BORROWER_STATE	C2 name tag holds something else	places; org words 5.8%, people 0.0%; e.g. ['OH', 'NY', 'CA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_SBA_LOANS	CDC_STATE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_SBA_LOANS	LENDER_STATE	C2 tag fails its format	STATE: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_SBA_PPP	BORROWER_CITY	C2 name tag holds something else	places; org words 2.6%, people 0.1%; e.g. ['MONTCLAIR', 'ATLANTA', 'Terryville']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_SBA_PPP	BORROWER_STATE	C2 name tag holds something else	places; org words 6.0%, people 0.0%; e.g. ['NJ', 'GA', 'CT']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['UNITED STATES', 'COSTA RICA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_ADDRESS_LINE_1	C2 name tag holds something else	places; org words 7.4%, people 0.1%; e.g. ['230 W PATRICK ST', '555 WRIGHT WAY', 'PENNSYLVANIA DEPARTMENT OF HEALTH']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_ADDRESS_LINE_2	C2 name tag holds something else	places; org words 14.5%, people 0.7%; e.g. ['0', 'N/A', 'COMMONWEALTH AVE AND FORSTER STREET']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_CITY_CODE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0050', '3500', '24300']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_CITY_NAME	C2 name tag holds something else	places; org words 3.5%, people 0.0%; e.g. ['FREDERICK', 'CARSON CITY', 'HARRISBURG']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_COUNTY_NAME	C2 name tag holds something else	places; org words 2.3%, people 0.0%; e.g. ['CARSON CITY', 'DAUPHIN', 'LEFLORE']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['24', '32', '42']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_STATE_CODE	C2 name tag holds something else	places; org words 5.1%, people 0.0%; e.g. ['MD', 'NV', 'PA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	RECIPIENT_STATE_NAME	C2 name tag holds something else	places; org words 0.4%, people 0.0%; e.g. ['MARYLAND', 'NEVADA', 'PENNSYLVANIA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_ORIGINAL	C2 name tag holds something else	single words or codes; org words 5.0%, people 0.0%; e.g. ['MD-06', 'NV-00', 'PA-17']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_CURRENT	C2 name tag holds something else	single words or codes; org words 5.1%, people 0.0%; e.g. ['MD-06', 'NV-02', 'PA-10']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['UNITED STATES', 'COSTA RICA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	C2 name tag holds something else	places; org words 4.0%, people 0.0%; e.g. ['CARSON CITY', 'HARRISBURG', 'FORT PIERCE']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIMARY_PLACE_OF_PERFORMANCE_COUNTY_NAME	C2 name tag holds something else	places; org words 2.1%, people 0.0%; e.g. ['LEFLORE', 'OKTIBBEHA', 'YELL']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['28', '05', '37']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PRIMARY_PLACE_OF_PERFORMANCE_STATE_NAME	C2 name tag holds something else	places; org words 0.4%, people 0.0%; e.g. ['NEVADA', 'PENNSYLVANIA', 'MISSISSIPPI']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS	RECIPIENT_DUNS	C2 tag fails its format	DUNS: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS	RECIPIENT_CITY_NAME	C2 name tag holds something else	places; org words 0.7%, people 0.0%; e.g. ['OKINAWA', 'ASHBURN', 'OAKTON']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS	RECIPIENT_STATE_CODE	C2 name tag holds something else	places; org words 16.7%, people 0.0%; e.g. ['VA', 'CA', 'MI']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS	RECIPIENT_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.1%; e.g. ['JAPAN', 'UNITED STATES', 'GERMANY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	C2 name tag holds something else	places; org words 0.9%, people 0.0%; e.g. ['NORTH CHARLESTON', 'SAVANNAH', 'EL SEGUNDO']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.2%; e.g. ['UNITED STATES', 'BAHRAIN', 'UNITED STATES OF AMERICA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_ADDRESS_LINE_1	C2 name tag holds something else	places; org words 1.7%, people 0.0%; e.g. ['1240 COBBLESTONE WAY', '133 MAIN ST', 'BLDG. 17-3120 MARINER AVENUE']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_ADDRESS_LINE_2	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['TIYAN', 'SUITE 200', 'PLOTS # 598 - 668']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_CITY_NAME	C2 name tag holds something else	places; org words 2.7%, people 0.0%; e.g. ['WOODSTOCK', 'DELHI', 'BARRIGADA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_COUNTY_NAME	C2 name tag holds something else	places; org words 5.9%, people 0.0%; e.g. ['GUAM', 'MADISON', 'FAIRFAX']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['17', '36', '66']	moderate	retire the regex catalog; tag with the platform tagger
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_STATE_CODE	C2 name tag holds something else	places; org words 7.1%, people 0.0%; e.g. ['IL', 'NY', 'GU']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_STATE_NAME	C2 name tag holds something else	places; org words 0.9%, people 0.0%; e.g. ['GUAM', 'ALABAMA', 'VIRGINIA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_ORIGINAL	C2 name tag holds something else	single words or codes; org words 7.2%, people 0.0%; e.g. ['IL-08', 'NY-20', 'GU-00']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIME_AWARD_TRANSACTION_RECIPIENT_CD_CURRENT	C2 name tag holds something else	single words or codes; org words 7.1%, people 0.0%; e.g. ['IL-11', 'NY-19', 'GU-98']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_PHONE_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['9372360110', '5868257043', '5034983397']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	RECIPIENT_FAX_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['9372360111', '5868257396', '5034983904']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.3%; e.g. ['UNITED STATES', 'KUWAIT', 'GERMANY']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME	C2 name tag holds something else	places; org words 5.2%, people 0.0%; e.g. ['FARGO', 'BEDFORD', 'BARRIGADA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIMARY_PLACE_OF_PERFORMANCE_COUNTY_NAME	C2 name tag holds something else	places; org words 6.2%, people 0.0%; e.g. ['CASS', 'MIDDLESEX', 'GUAM']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_STATE_FIPS_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['38', '25', '66']	moderate	retire the regex catalog; tag with the platform tagger
