id_name,domain,dataset_name,url,access_shape,auth,size_class,confidence,evidence,fragmented,fragmented_exemplars,federal_aggregator,row_count_note,update_cadence_note,license_note,trap_note,critic_verdict,critic_note
HHS OCR Breach Portal record (HIPAA Breach of Unsecured PHI),Healthcare & Clinical,"HHS OCR Breach Portal (""Breach Report"" / public breach notification tool, informally the ""Wall of Shame"") -- breaches affecting 500+ individuals",https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,scrape-only,none,medium,inferred,"page loaded states ""OCR investigates all breaches...that affect 500 or more individuals"" and links to ""View HIPAA Breach Reports""",False,,,,,,"This page is a JS-rendered (JSF/Faces) search application -- the actual breach-report results table and any CSV export control did not render through WebFetch this session, only the informational landing text; a working export mechanism was not directly confirmed",downgraded,"The claimed URL, fetched twice, only ever returned informational landing content (headings like 'Breach Portal', 'What You Should Know Before Filing', links 'File a HIPAA Breach' / 'View HIPAA Breach Reports') -- no breach-record data grid or table columns (entity name, state, individuals affected, etc.) appeared in either fetch. The first pass's own quoted evidence matches this exactly -- they too only quote the landing text and the 'View HIPAA Breach Reports' link, not the grid itself. So nothing here contradicts the first pass, but nothing independently confirms the 'scrape-only, no auth' shape against the actual searchable table either -- that table is presumably one click/AJAX call away on the same page and wasn't directly observed this session. Downgrading confidence to inferred pending direct confirmation of the data grid."
Unique Device Identifier / Device Identifier,"Pharma, Biologics & Medical Devices","AccessGUDID (Global Unique Device Identification Database, GUDID)",https://accessgudid.nlm.nih.gov/,bulk-file,none,large,confirmed,"""The Global Unique Device Identification Database (GUDID) contains key device identification information submitted to the FDA about medical devices that have Unique Device Identifiers (UDI).""",False,,yes,,Daily Release file provided every business day; NLM bundles into Weekly and Full Release downloads.,,Also mirrored as the openFDA device/udi API endpoint.,upheld,"Confirmed live. Homepage states 'download all the GUDID data at once' and links to full releases/update files. Checked the actual download page (accessgudid.nlm.nih.gov/download): direct links to gudid_full_release_20260803.zip (5,182,695 records, 516MB) plus pipe-delimited and .TXT variants, no login/account/API key required anywhere in the flow."
FDA Establishment Identifier,"Pharma, Biologics & Medical Devices","FDA Device Establishment Registration & Listing (openFDA registrationlisting dataset, carries FEI numbers)",https://open.fda.gov/apis/device/registrationlisting/,api-open,none,medium,confirmed,"""the location of medical device establishments and the devices manufactured at those establishments""",False,,yes,,,,"A separate single-lookup FEI Portal (accessdata.fda.gov/scripts/feiportal) exists for validating one firm's FEI number, but is not a bulk source; that domain 404'd to the fetch tool this session.",upheld,"Page and openFDA's authentication page confirm: API key is optional (free), unauthenticated calls get 1,000 req/day / 240 req/min, keyed calls get 120,000/day. Page describes establishment location + devices manufactured. Could not get the searchable-fields subpage to explicitly print 'fei_number' (it returned a truncated field list showing a nested 'registration' object rather than its subfields, and the fields-reference PDF/XLSX/YAML link 403'd on fetch) -- so the FEI field's exact name wasn't directly re-quoted, but the dataset and open/no-auth access shape are solid."
Unique Ingredient Identifier,"Pharma, Biologics & Medical Devices",FDA Global Substance Registration System (GSRS) / UNII,https://precision.fda.gov/uniisearch,api-open,none,large,confirmed,"""enables efficient and accurate exchange of information on substances through their Unique Ingredient Identifiers (UNIIs)""",False,,yes,,,,,upheld,"precision.fda.gov/uniisearch is a real, publicly reachable GSRS/UNII search+download portal, no login wall encountered. Its archive subpage (/uniisearch/archive) offers UNII_Data_*.zip / UNIIs_*.zip bulk downloads back to 2014 with no login. Also verified a live open REST API for the same GSRS system at gsrs.ncats.nih.gov/api/v1/substances -- returned real JSON (173,081 substances) with no auth header needed. So 'api-open, auth none' holds, just note the actual API host is gsrs.ncats.nih.gov rather than precision.fda.gov itself."
CAS Registry Number,"Pharma, Biologics & Medical Devices",CAS Common Chemistry (free public subset of the CAS Registry),https://commonchemistry.cas.org/,api-key,free-key,medium,confirmed,"""CAS Common Chemistry is an open community resource for accessing chemical information"" — covers ""nearly 500,000 chemical substances""",False,,,"~500,000 substances in the free Common Chemistry subset per the page.",,Free subset under CC BY-NC 4.0 (non-commercial).,"The full CAS Registry (>200M substances, the thing referenced as a foreign key across FDA/EPA/NIOSH chemical data) is proprietary to the American Chemical Society and only reachable via paid SciFinder/STN -- Common Chemistry is a much smaller free carve-out, not the full registry.",downgraded,"The homepage/web search UI (search by name, SMILES, InChI, or CAS RN) IS free and open with no login -- that part checks out for ~500k substances under CC BY-NC 4.0. But the actual API is NOT auth-none: fetched commonchemistry.cas.org/api-overview directly and it states 'To access the CAS Common Chemistry API, an API token is required,' obtained via an access-request form, sent as an X-Api-Key header. First pass's own quoted evidence never claimed API-specific access -- it only supports the web-search framing, but the row was filed as 'api-open, auth: none' which is wrong for the API. Downgrading to api-key/free-key (registration required, still free, not scrape-blocked)."
510(k) Premarket Notification Number,"Pharma, Biologics & Medical Devices",FDA 510(k) Premarket Notification Database,https://open.fda.gov/apis/device/510k/,api-open,none,medium,confirmed,"""Frequency of API updates: Monthly"" -- covers records from 1976 onward",False,,yes,,Monthly,,,upheld,Confirmed 'Time period covered in this API: 1976 to null' and 'Frequency of API updates: Monthly' on the page as quoted. Same optional-key/no-auth-required pattern as the rest of openFDA.
Premarket Approval Number,"Pharma, Biologics & Medical Devices",FDA Premarket Approval (PMA) Database,https://open.fda.gov/apis/device/pma/,api-open,none,medium,confirmed,"""details about specific products and the sponsors of premarket approval applications and supplements,"" covering records from 1976 to present with monthly updates",False,,yes,,Monthly,,,upheld,"Confirmed description of sponsors of premarket approval applications/supplements, 1976-present coverage, monthly updates, no required auth -- matches quoted evidence exactly."
SPL Set ID (Structured Product Labeling),"Pharma, Biologics & Medical Devices",DailyMed Structured Product Labeling (SPL) bulk data,https://dailymed.nlm.nih.gov/dailymed/spl-resources.cfm,bulk-file,none,medium,confirmed,"""daily, weekly or monthly periodic updates or full releases of all drug labels"" as zip files; separate files ""map SPL Set ID to other information""",False,,yes,,Daily/weekly/monthly/full release cadence.,,,upheld,"Page confirms 'Choose from daily, weekly or monthly periodic updates or full releases of all drug labels' as zip files, plus a separate mapping-files section that maps SPL Set ID to other identifiers -- both accessible with no login."
MAUDE Medical Device Report Number,"Pharma, Biologics & Medical Devices",FDA MAUDE (Manufacturer and User Facility Device Experience) database,https://open.fda.gov/apis/device/event/,api-open,none,large,confirmed,"""this data covers publically releasable records submitted to the FDA from about 1992 to the present. The data is updated weekly.""",False,,yes,,Weekly,,,upheld,"Confirmed 'this data covers publically releasable records submitted to the FDA from about 1992 to the present' and 'updated weekly' as quoted. Open API, key optional."
FAERS Individual Safety Report / Case ID,"Pharma, Biologics & Medical Devices",FDA Adverse Event Reporting System (FAERS),https://open.fda.gov/apis/drug/event/,api-open,none,large,confirmed,"""includes publically releasable records submitted to the FDA through FAERS from 2004"" onward, updated ""Quarterly""",False,,yes,,Quarterly; data may lag by three months or more.,,Full case narrative is withheld from the quarterly files and public API; only obtainable via FOIA request keyed on the Case ID.,upheld,"Confirmed 'from 2004 to null' coverage and 'Quarterly' update frequency, with a noted lag of 3+ months for the latest quarter -- consistent with quoted evidence. Open API, key optional."
New/Abbreviated New Animal Drug Application Number,"Pharma, Biologics & Medical Devices","Animal Drugs @ FDA (NADA/ANADA/CNADA database, Center for Veterinary Medicine)",https://animaldrugsatfda.fda.gov/adafda/views/#/search,scrape-only,none,small,inferred,,False,,,,,,"Page loaded but the fetch tool only surfaced navigation chrome (likely a JS-rendered SPA) -- no confirmable descriptive text captured this session, existence known from search snippets and general knowledge.",,
Humanitarian Device Exemption Number,"Pharma, Biologics & Medical Devices",FDA Listing of CDRH Humanitarian Device Exemptions,https://www.fda.gov/medical-devices/hde-approvals/listing-cdrh-humanitarian-device-exemptions,scrape-only,none,small,inferred,,False,,,,,,"www.fda.gov and accessdata.fda.gov both 404'd to the fetch tool this session (looks bot-blocked); page/database known from FDA site structure and search snippets, not independently loaded.",,
VAERS ID,"Pharma, Biologics & Medical Devices",Vaccine Adverse Event Reporting System (VAERS) data files,https://vaers.hhs.gov/data/datasets.html,bulk-file,none,large,confirmed,"""VAERS Data Use Guide"" referenced on page; CSV/ZIP data downloads organized by year, files available 1990 through 2026",False,,yes,,"Public access to VAERS/WONDER was expanded May 8, 2025 per prior search results.",,,upheld,"Confirmed direct CSV/ZIP download links by year (1990 through 2026, plus a Non-Domestic file), no login required, and the VAERS Data Use Guide PDF is referenced and linked exactly as quoted."
HCT/P Establishment Registration,"Pharma, Biologics & Medical Devices",eHCTERS (electronic Human Cell and Tissue Establishment Registration System) Public Query Application,https://www.fda.gov/vaccines-blood-biologics/biologics-establishment-registration/human-cell-and-tissue-establishment-registration-hcters-public-query-application,scrape-only,none,small,inferred,,False,,,,,,"www.fda.gov 404'd to the fetch tool this session; registry program described via search snippet only (registered/inactive/pre-registered establishment query by name, function, product).",,
Purple Book Biologic Patent List,"Pharma, Biologics & Medical Devices",FDA Purple Book Database of Licensed Biological Products (incl. Biological Product Patent Transparency lists),https://purplebooksearch.fda.gov/downloads,bulk-file,none,small,inferred,,False,,,,,,purplebooksearch.fda.gov 404'd to the fetch tool on two separate paths this session; monthly CSV/Excel download known from a prior search snippet only.,,
Drug Master File Number,"Pharma, Biologics & Medical Devices",FDA Drug Master Files (DMF) list,https://www.fda.gov/drugs/forms-submission-requirements/drug-master-files-dmfs,bulk-file,none,medium,inferred,,False,,,,,,"www.fda.gov 404'd to the fetch tool this session; FDA publishes a quarterly spreadsheet of DMF numbers per a prior search snippet, not independently loaded.",,
Orphan Drug Designation Number,"Pharma, Biologics & Medical Devices",FDA Office of Orphan Products Development (OOPD) Searchable Orphan Drug Designations/Approvals Database,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/,scrape-only,none,small,inferred,,False,,,,,,accessdata.fda.gov 404'd to the fetch tool every time it was tried this session; search page (with Excel export option per prior search) known but not independently loaded.,,
Health Canada Drug Identification Number,"Pharma, Biologics & Medical Devices",Health Canada Drug Product Database (DPD),https://health-products.canada.ca/dpd-bdpp/index-eng.jsp,bulk-file,none,medium,confirmed,"""search by either a) drug identification number (DIN), b) Anatomical Therapeutic Chemical (ATC) code, or c) by company"" -- plus a linked ""Drug product database data extracts"" bulk download resource",False,,na,,,,,upheld,"Confirmed the search page supports DIN / ATC code / company search as quoted, and it links to a 'Drug product database data extracts' bulk-download resource. Followed that link through its redirect chain to the canada.ca extract page; canada.ca returned 403 to the fetch tool (looks like bot-blocking on that domain, not an actual login/paywall -- Health Canada's DPD extracts are publicly documented as free downloadable files), so the bulk-extract page itself couldn't be independently re-confirmed in this pass, but nothing found contradicts the claim."
EUDAMED Single Registration Number,"Pharma, Biologics & Medical Devices",EUDAMED Actor Registration Module (SRN for economic operators),https://ec.europa.eu/tools/eudamed/#/screen/search-eo,scrape-only,none,medium,inferred,,False,,na,,,,"ec.europa.eu EUDAMED single-page app returned no usable text to the fetch tool (JS-rendered, empty page shell). Public actor-module search (live since Dec 2020, mandatory from 28 May 2026) confirmed via WebSearch snippets earlier in the session, before the session's search budget ran out.",,
National Vaccine Injury Compensation Program Petition Number,"Pharma, Biologics & Medical Devices",US Court of Federal Claims Vaccine Program (Office of Special Masters) petition dockets / HRSA NVICP statistics,https://www.hrsa.gov/vaccine-compensation/data,scrape-only,none,medium,inferred,,False,,yes,,,,"hrsa.gov returned HTTP 403 to the fetch tool this session. Program and public case-docket search (petitions numbered like ""17-1073V"") known from general knowledge, not independently loaded; no bulk file is known to exist, only case-by-case docket search plus HRSA's periodic summary statistics.",,
FDA Enforcement Report Recall Number / Event ID,"Pharma, Biologics & Medical Devices",FDA Recall Enterprise System (RES) Enforcement Reports (device and drug),https://open.fda.gov/apis/device/enforcement/,api-open,none,medium,confirmed,"""The openFDA device enforcement reports API returns data from the FDA Recall Enterprise System (RES), a database that contains information on recall event information submitted to FDA."" Coverage 2004 to present, weekly updates.",False,,yes,,Weekly,,,upheld,"Confirmed sourced from FDA Recall Enterprise System (RES), 'Time period covered in this API: 2004 to null,' weekly updates -- matches quoted evidence exactly."
FDA Debarment List,"Pharma, Biologics & Medical Devices","FDA Debarment List (Drug Product Applications, Generic Drug Enforcement Act)",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/compliance-actions-and-activities/debarment-list-drug-product-applications,scrape-only,none,small,inferred,,False,,,,,,www.fda.gov 404'd to the fetch tool this session.,,
